From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (ug/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2018-02-01 10:00:00,2018-02-01 11:00:00,322.0,487.0,4.53,26.33,18.72,24.92,11.06,0.58,,,,,36.6,1.86,298.6,601.0,994.0,0.0,22.16,
2018-02-01 11:00:00,2018-02-01 12:00:00,245.92,427.42,5.96,26.08,32.14,37.77,20.26,0.94,,,,,32.75,1.98,296.42,602.0,994.0,0.0,24.08,
2018-02-01 12:00:00,2018-02-01 13:00:00,176.67,368.83,2.7,15.93,18.62,38.67,12.48,0.73,,,,,34.17,1.95,297.0,602.92,992.92,0.0,25.52,
2018-02-01 13:00:00,2018-02-01 14:00:00,149.0,333.75,1.33,11.37,23.08,24.69,4.28,0.61,,,,,32.92,2.58,310.58,603.0,991.83,0.0,26.36,
2018-02-01 14:00:00,2018-02-01 15:00:00,113.08,273.25,1.22,15.52,33.15,7.96,0.53,0.52,,,,,31.58,2.8,318.08,603.0,990.92,0.0,26.77,
2018-02-01 15:00:00,2018-02-01 16:00:00,93.5,239.58,0.84,36.4,27.24,5.14,0.87,0.44,,,,,33.58,2.22,317.25,592.33,990.0,0.0,26.68,
2018-02-01 16:00:00,2018-02-01 17:00:00,84.67,222.33,0.53,,38.09,5.96,0.2,0.6,,,,,37.25,2.18,312.83,351.75,990.0,0.0,25.67,
2018-02-01 17:00:00,2018-02-01 18:00:00,81.25,205.42,1.33,24.85,35.61,5.15,0.38,0.6,,,,,44.17,1.73,317.08,84.42,990.0,0.0,23.58,
2018-02-01 18:00:00,2018-02-01 19:00:00,80.08,214.08,1.6,19.21,23.12,37.9,6.05,0.87,,,,,56.75,1.15,286.0,4.5,990.0,0.0,20.87,
2018-02-01 19:00:00,2018-02-01 20:00:00,100.17,272.75,29.83,42.97,72.77,40.97,7.61,1.91,,,,,73.67,1.33,322.67,,990.0,0.0,18.43,
2018-02-01 20:00:00,2018-02-01 21:00:00,151.5,404.5,36.74,38.52,75.27,50.88,6.39,2.31,,,,,86.83,1.2,307.08,,990.25,0.0,16.98,
2018-02-01 21:00:00,2018-02-01 22:00:00,190.83,454.5,22.12,38.52,60.63,52.72,7.08,2.15,4.8,,,,89.58,1.62,325.17,,991.0,0.0,16.9,
2018-02-01 22:00:00,2018-02-01 23:00:00,220.58,449.75,7.72,32.76,40.45,55.84,7.43,1.53,,,,,89.08,1.89,328.42,,991.0,0.0,16.91,
2018-02-01 23:00:00,2018-02-02 00:00:00,236.75,406.83,4.71,29.78,34.48,54.68,6.41,1.33,,,,,91.5,1.73,327.67,,990.33,0.0,16.28,
2018-02-02 00:00:00,2018-02-02 01:00:00,178.42,347.08,2.87,24.13,27.0,45.9,6.11,0.99,,,,,88.83,1.63,324.58,,990.0,0.0,15.97,
2018-02-02 01:00:00,2018-02-02 02:00:00,137.25,285.17,10.24,20.22,30.45,40.67,5.38,0.83,,,,,93.67,0.93,294.58,,990.0,0.0,14.58,
2018-02-02 02:00:00,2018-02-02 03:00:00,123.92,252.5,87.87,26.75,114.61,42.18,4.72,1.2,,,,,99.0,0.49,249.33,,989.58,0.0,12.58,
2018-02-02 03:00:00,2018-02-02 04:00:00,152.33,344.42,124.64,26.04,150.69,40.31,4.74,1.3,,,,,99.0,0.63,219.75,,989.0,0.0,12.12,
2018-02-02 04:00:00,2018-02-02 05:00:00,146.75,342.92,107.49,26.67,134.16,48.86,4.73,1.26,,,,,99.0,0.45,220.33,,989.0,0.0,12.12,
2018-02-02 05:00:00,2018-02-02 06:00:00,156.08,325.5,101.55,22.93,124.48,46.59,4.15,1.24,,,,,99.0,1.16,190.75,,989.0,0.0,12.16,
2018-02-02 06:00:00,2018-02-02 07:00:00,150.58,275.42,79.94,21.38,101.32,49.86,5.1,1.29,,,,,99.0,0.77,261.67,,989.33,0.0,11.87,
2018-02-02 07:00:00,2018-02-02 08:00:00,154.58,271.0,76.39,23.74,100.15,52.46,6.06,1.52,,,,,99.0,0.88,277.83,40.33,990.0,0.0,12.19,
2018-02-02 08:00:00,2018-02-02 09:00:00,177.92,324.17,43.75,34.17,77.91,66.6,11.53,1.58,,,,,93.08,0.74,283.5,248.42,990.25,0.0,15.17,
2018-02-02 09:00:00,2018-02-02 10:00:00,278.08,413.33,30.17,50.46,65.95,34.12,5.58,1.47,,,,,75.58,1.23,279.17,576.25,991.0,0.0,18.62,
2018-02-02 10:00:00,2018-02-02 11:00:00,223.75,371.5,7.27,24.85,11.05,21.68,3.6,0.36,,,,,59.33,1.81,299.33,601.0,991.0,0.0,20.61,
2018-02-02 11:00:00,2018-02-02 12:00:00,180.42,332.17,6.53,24.01,30.56,59.85,14.16,0.99,,,,,49.33,1.96,300.08,601.75,991.0,0.0,22.33,
2018-02-02 12:00:00,2018-02-02 13:00:00,182.5,357.42,2.45,11.85,14.26,56.32,8.38,0.66,,,,,43.17,2.35,318.5,602.5,989.92,0.0,23.75,
2018-02-02 13:00:00,2018-02-02 14:00:00,123.42,273.83,1.16,10.55,53.78,6.21,0.28,0.59,,,,,41.75,2.21,333.25,603.0,989.0,0.0,24.78,
2018-02-02 14:00:00,2018-02-02 15:00:00,96.92,243.08,0.97,,49.68,5.68,0.2,0.49,,,,,35.25,2.39,309.25,603.0,988.33,0.0,25.55,
2018-02-02 15:00:00,2018-02-02 16:00:00,72.08,210.75,0.82,,46.26,5.77,0.2,0.5,,,,,37.75,2.21,300.0,598.75,988.0,0.0,25.36,
2018-02-02 16:00:00,2018-02-02 17:00:00,77.27,209.82,0.87,,43.5,5.2,0.2,0.49,,,,,40.83,2.53,315.75,380.33,988.0,0.0,24.29,
2018-02-02 17:00:00,2018-02-02 18:00:00,68.83,191.67,0.73,40.1,34.14,3.61,0.54,0.43,,,,,48.42,2.5,320.33,96.17,988.17,0.0,22.26,
2018-02-02 18:00:00,2018-02-02 19:00:00,71.67,190.92,0.54,11.43,28.02,19.83,2.39,0.67,,,,,57.67,2.05,319.0,6.75,989.0,0.0,20.17,
2018-02-02 19:00:00,2018-02-02 20:00:00,102.25,246.92,0.77,16.7,17.47,41.82,5.74,0.9,,,,,62.17,2.34,331.5,,989.58,0.0,18.86,
2018-02-02 20:00:00,2018-02-02 21:00:00,112.33,290.5,0.77,15.44,16.22,40.28,5.29,0.81,,,,,63.58,2.07,329.92,,990.33,0.0,17.96,
2018-02-02 21:00:00,2018-02-02 22:00:00,87.33,248.17,0.65,17.92,18.55,40.68,4.88,0.9,,,,,65.92,1.59,324.08,,991.0,0.0,17.09,
2018-02-02 22:00:00,2018-02-02 23:00:00,80.42,240.33,0.75,20.71,21.46,42.4,4.63,0.9,,,,,71.92,2.02,328.92,,991.0,0.0,16.38,
2018-02-02 23:00:00,2018-02-03 00:00:00,94.67,263.83,2.64,22.03,24.57,39.66,4.45,0.83,,,,,74.5,2.13,332.17,,991.0,0.0,15.93,
2018-02-03 00:00:00,2018-02-03 01:00:00,105.0,272.0,1.15,20.43,21.58,48.53,5.31,0.82,,,,,78.58,1.71,337.67,,991.0,0.0,15.36,
2018-02-03 01:00:00,2018-02-03 02:00:00,116.0,273.83,1.19,17.68,18.89,53.07,6.58,0.66,,,,,84.17,1.67,322.5,,991.0,0.0,14.77,
2018-02-03 02:00:00,2018-02-03 03:00:00,128.0,266.67,4.47,17.4,8.48,14.04,1.98,0.11,,,,,85.58,1.66,330.0,,991.0,0.0,14.16,
2018-02-03 03:00:00,2018-02-03 04:00:00,114.33,255.92,2.18,19.58,21.75,50.82,7.22,0.4,,,,,89.33,1.82,330.5,,991.0,0.0,13.57,
2018-02-03 04:00:00,2018-02-03 05:00:00,105.67,241.25,1.54,22.38,23.92,47.97,9.33,0.4,,,,,88.0,1.43,340.0,,991.0,0.0,13.43,
2018-02-03 05:00:00,2018-02-03 06:00:00,112.33,248.25,28.88,25.53,54.41,48.57,6.47,0.52,,,,,92.58,0.86,201.25,,991.0,0.0,12.16,
2018-02-03 06:00:00,2018-02-03 07:00:00,118.5,261.83,88.31,26.78,115.07,49.94,6.38,1.16,,,,,98.58,0.83,190.83,,991.83,0.0,10.43,
2018-02-03 07:00:00,2018-02-03 08:00:00,118.08,302.42,130.71,28.2,158.91,48.78,5.84,1.72,,,,,98.92,0.71,204.67,41.08,992.58,0.0,10.11,
2018-02-03 08:00:00,2018-02-03 09:00:00,141.83,324.33,118.87,36.88,155.72,53.25,9.63,2.16,,,,,86.75,0.69,230.25,242.67,993.25,0.0,13.6,
2018-02-03 09:00:00,2018-02-03 10:00:00,226.5,440.58,20.13,33.89,54.02,53.12,26.1,1.27,,,,,62.92,1.54,313.33,582.5,994.0,0.0,17.62,
2018-02-03 10:00:00,2018-02-03 11:00:00,226.67,413.42,4.64,20.81,25.46,56.47,21.29,0.93,,,,,51.75,2.63,235.17,600.0,994.0,0.0,19.1,
2018-02-03 11:00:00,2018-02-03 12:00:00,195.75,383.42,3.22,12.47,17.87,48.97,11.67,0.62,,,,,44.17,2.99,250.91,601.0,994.0,0.0,20.8,
2018-02-03 12:00:00,2018-02-03 13:00:00,120.11,268.5,1.45,17.4,33.59,17.28,3.16,0.45,,,,,36.22,3.17,346.78,601.33,993.22,0.0,22.17,
2018-02-03 13:00:00,2018-02-03 14:00:00,73.42,218.42,0.73,,39.73,6.93,0.2,0.37,,,,,28.33,3.5,341.83,602.0,992.17,0.0,22.93,
2018-02-03 14:00:00,2018-02-03 15:00:00,46.0,172.0,0.67,,34.03,5.67,0.11,0.3,,,,,23.33,2.79,322.67,602.0,992.0,0.0,23.62,
2018-02-03 15:00:00,2018-02-03 16:00:00,41.0,123.0,0.72,,32.29,6.22,0.1,0.39,,,,,26.5,2.46,321.08,601.25,991.58,0.0,23.38,
2018-02-03 16:00:00,2018-02-03 17:00:00,47.0,135.0,0.74,,33.83,5.72,0.1,0.42,,,,,30.25,2.68,320.58,422.0,991.08,0.0,22.37,
2018-02-03 17:00:00,2018-02-03 18:00:00,52.0,156.0,0.67,39.6,33.63,5.06,0.22,0.51,,,,,41.25,2.39,327.83,113.42,991.83,0.0,20.19,
2018-02-03 18:00:00,2018-02-03 19:00:00,63.0,177.0,0.59,15.5,25.41,18.58,2.37,0.52,,,,,46.67,1.73,313.58,6.25,992.0,0.0,17.74,
2018-02-03 19:00:00,2018-02-03 20:00:00,69.0,190.0,0.52,16.19,16.68,39.71,5.81,0.82,,,,,54.5,1.92,323.42,,992.5,0.0,16.82,
2018-02-03 20:00:00,2018-02-03 21:00:00,102.0,254.0,0.68,21.47,22.14,42.73,5.99,1.06,,,,,60.0,1.23,313.5,,993.0,0.0,15.66,
2018-02-03 21:00:00,2018-02-03 22:00:00,135.0,282.0,0.88,25.99,26.88,43.63,6.06,1.18,,,,,70.08,0.97,302.25,,993.08,0.0,14.44,
2018-02-03 22:00:00,2018-02-03 23:00:00,141.0,288.0,2.57,31.98,34.53,46.53,6.43,1.37,,,,,84.5,1.17,305.42,,994.0,0.0,13.04,
2018-02-03 23:00:00,2018-02-04 00:00:00,190.0,335.0,2.93,25.03,27.97,44.13,7.18,1.12,,,,,80.5,1.58,321.67,,993.25,0.0,13.64,
2018-02-04 00:00:00,2018-02-04 01:00:00,202.0,342.0,0.82,16.9,17.73,40.75,8.31,0.82,,,,,77.42,2.12,325.17,,993.0,0.0,13.83,
2018-02-04 01:00:00,2018-02-04 02:00:00,174.0,293.0,0.64,14.94,15.57,39.76,6.49,0.7,,,,,83.08,1.59,318.58,,993.0,0.0,12.81,
2018-02-04 02:00:00,2018-02-04 03:00:00,171.0,289.0,0.5,12.2,7.27,11.85,2.17,0.23,,,,,83.5,1.82,312.83,,992.33,0.0,12.48,
2018-02-04 03:00:00,2018-02-04 04:00:00,151.0,260.0,0.41,12.75,13.17,37.95,7.32,0.63,,,,,85.58,1.74,306.0,,992.0,0.0,12.32,
2018-02-04 04:00:00,2018-02-04 05:00:00,140.0,233.0,1.11,18.19,25.3,30.8,3.34,0.67,,,,,90.08,1.93,315.08,,992.0,0.0,11.53,
2018-02-04 05:00:00,2018-02-04 06:00:00,144.0,248.0,2.45,21.07,26.63,24.99,4.64,0.61,,,,,87.75,1.64,287.5,,992.0,0.0,11.76,
2018-02-04 06:00:00,2018-02-04 07:00:00,158.0,254.0,1.22,21.23,22.47,39.55,7.03,0.75,,,,,87.92,1.66,277.92,1.0,992.5,0.0,11.52,
2018-02-04 07:00:00,2018-02-04 08:00:00,211.0,317.0,1.87,21.23,23.05,40.08,7.19,0.81,,,,,88.75,1.82,292.0,45.33,993.0,0.0,11.11,
2018-02-04 08:00:00,2018-02-04 09:00:00,184.0,287.0,5.76,22.89,28.63,43.5,10.05,0.92,,,,,80.92,2.02,297.67,251.0,993.83,0.0,12.92,
2018-02-04 09:00:00,2018-02-04 10:00:00,202.0,340.0,4.31,15.27,19.56,47.48,12.24,0.91,,,,,69.33,2.23,300.67,595.83,994.58,0.0,15.34,
2018-02-04 10:00:00,2018-02-04 11:00:00,205.0,349.0,2.54,13.56,16.09,45.74,11.72,0.8,,,,,57.08,2.12,291.33,599.67,995.0,0.0,17.97,
2018-02-04 11:00:00,2018-02-04 12:00:00,157.0,305.0,2.52,14.46,22.7,28.18,5.65,0.64,,,,,47.67,2.52,299.33,600.92,994.25,0.0,19.98,
2018-02-04 12:00:00,2018-02-04 13:00:00,123.0,283.0,1.13,,42.57,6.88,0.25,0.7,,,,,42.25,2.43,308.0,601.5,993.5,0.0,21.67,
2018-02-04 13:00:00,2018-02-04 14:00:00,103.0,245.0,1.03,38.9,36.76,5.38,0.41,0.5,,,,,33.42,2.67,306.83,602.0,992.83,0.0,22.59,
2018-02-04 14:00:00,2018-02-04 15:00:00,78.0,195.0,0.75,,35.29,4.98,0.13,0.48,,,,,30.0,2.49,296.33,602.0,992.0,0.0,23.14,
2018-02-04 15:00:00,2018-02-04 16:00:00,70.0,166.0,0.68,,32.78,4.48,0.1,0.4,,,,,29.0,2.92,299.83,601.25,992.0,0.0,22.94,
2018-02-04 16:00:00,2018-02-04 17:00:00,59.0,161.0,0.57,,31.56,4.67,0.1,0.38,,,,,30.67,2.77,309.5,440.75,991.0,0.0,22.21,
2018-02-04 17:00:00,2018-02-04 18:00:00,52.0,147.0,0.71,30.3,27.55,4.27,0.23,0.38,,,,,36.75,2.07,307.0,116.58,991.08,0.0,20.45,
2018-02-04 18:00:00,2018-02-04 19:00:00,63.0,162.0,0.55,12.05,19.88,21.04,3.77,0.67,,,,,47.67,1.38,303.0,6.75,991.42,0.0,17.91,
2018-02-04 19:00:00,2018-02-04 20:00:00,101.0,233.0,52.19,47.02,99.22,30.33,7.55,2.03,,,,,58.5,1.06,256.08,,992.0,0.0,16.23,
2018-02-04 20:00:00,2018-02-04 21:00:00,153.0,373.0,73.67,51.07,124.75,37.83,9.18,2.38,,,,,67.83,0.93,260.08,,992.75,0.0,14.65,
2018-02-04 21:00:00,2018-02-04 22:00:00,162.0,361.0,37.14,45.85,82.99,41.25,14.53,1.79,,,,,63.33,1.28,279.92,,993.0,0.0,14.95,
2018-02-04 22:00:00,2018-02-04 23:00:00,229.0,381.0,44.27,44.43,88.72,41.62,14.78,1.7,3.64,0.6,3.56,,61.58,1.21,300.25,,993.0,0.0,14.19,
2018-02-04 23:00:00,2018-02-05 00:00:00,245.0,410.0,19.39,35.86,53.71,36.31,10.11,1.17,7.6,0.78,3.0,,68.0,1.08,317.25,,993.0,0.0,13.03,
2018-02-05 00:00:00,2018-02-05 01:00:00,208.0,362.0,3.11,23.51,26.63,35.48,8.83,0.89,25.06,0.73,2.68,,65.08,1.16,318.92,,993.0,0.0,12.52,
2018-02-05 01:00:00,2018-02-05 02:00:00,168.0,290.0,51.28,78.69,70.81,27.63,4.9,1.42,69.34,1.42,1.67,,81.42,0.8,237.17,,993.0,0.0,10.58,
2018-02-05 02:00:00,2018-02-05 03:00:00,199.0,429.0,149.78,36.55,186.35,13.91,3.62,1.57,3.72,0.3,3.02,,90.5,0.61,294.17,,993.0,0.0,9.38,
2018-02-05 03:00:00,2018-02-05 04:00:00,206.0,431.0,153.98,36.0,190.0,44.98,6.28,1.61,3.4,0.5,3.1,,94.17,0.66,242.58,,993.0,0.0,8.87,
2018-02-05 04:00:00,2018-02-05 05:00:00,217.0,450.0,86.88,34.42,121.3,46.05,7.88,1.22,3.82,0.58,3.19,,88.58,1.13,282.17,,993.0,0.0,9.5,
2018-02-05 05:00:00,2018-02-05 06:00:00,261.0,453.0,36.57,33.27,69.83,46.29,9.78,1.08,4.68,0.89,2.39,,84.92,1.5,310.58,,993.17,0.0,9.78,
2018-02-05 06:00:00,2018-02-05 07:00:00,307.0,443.0,70.68,28.66,99.33,49.23,9.3,1.31,4.06,0.5,2.68,,93.42,1.11,193.75,2.0,994.17,0.0,8.37,
2018-02-05 07:00:00,2018-02-05 08:00:00,310.0,509.0,97.77,31.14,128.92,51.91,7.62,1.82,4.54,0.79,2.57,,92.67,0.87,207.17,60.0,995.42,0.0,8.33,
2018-02-05 08:00:00,2018-02-05 09:00:00,324.0,500.0,88.36,41.32,129.67,53.7,13.52,2.22,5.72,0.71,3.02,,80.08,0.99,287.58,247.25,996.5,0.0,11.42,
2018-02-05 09:00:00,2018-02-05 10:00:00,359.0,545.0,24.53,33.67,58.21,47.32,17.03,1.36,20.27,0.63,2.57,,57.58,2.12,316.83,553.83,997.0,0.0,15.45,
2018-02-05 10:00:00,2018-02-05 11:00:00,287.0,494.0,4.65,20.97,25.62,41.75,12.34,1.08,61.12,0.53,2.3,,39.92,1.04,298.17,598.17,997.0,0.0,18.3,
2018-02-05 11:00:00,2018-02-05 12:00:00,205.0,388.0,3.75,18.28,22.67,37.49,9.52,0.89,95.34,0.57,1.93,,34.25,1.74,283.83,600.83,997.0,0.0,19.93,
2018-02-05 12:00:00,2018-02-05 13:00:00,200.0,399.0,1.49,13.18,24.77,21.11,4.38,0.61,123.53,1.47,0.95,,28.5,3.61,344.83,596.58,996.08,0.0,20.8,
2018-02-05 13:00:00,2018-02-05 14:00:00,153.0,269.0,0.84,,33.51,7.78,0.25,0.64,145.2,2.3,0.08,,30.42,2.83,345.0,594.83,995.58,0.0,20.82,
2018-02-05 14:00:00,2018-02-05 15:00:00,108.0,268.0,0.89,31.7,29.17,5.58,0.49,0.49,115.7,1.97,0.07,,29.58,2.8,339.17,513.75,995.0,0.0,20.57,
2018-02-05 15:00:00,2018-02-05 16:00:00,62.0,216.0,0.77,,30.22,6.63,0.2,0.53,113.07,1.72,0.0,,33.0,2.01,317.0,457.83,994.42,0.0,20.31,
2018-02-05 16:00:00,2018-02-05 17:00:00,73.0,191.0,0.83,33.15,27.27,5.51,0.49,0.5,96.86,1.43,0.0,,35.92,2.34,332.5,401.33,994.0,0.0,20.13,
2018-02-05 17:00:00,2018-02-05 18:00:00,64.0,190.0,1.79,13.17,24.46,14.54,1.88,0.59,87.33,1.06,0.53,,41.75,1.82,315.08,93.08,994.42,0.0,18.41,
2018-02-05 18:00:00,2018-02-05 19:00:00,96.0,251.0,0.65,19.36,19.99,33.66,5.97,0.82,69.17,0.23,2.76,,48.58,0.97,315.42,3.0,994.33,0.0,16.8,
2018-02-05 19:00:00,2018-02-05 20:00:00,112.0,283.0,3.35,32.51,35.84,40.8,6.71,1.33,24.97,0.38,3.47,,55.67,1.13,290.25,,994.42,0.0,16.31,
2018-02-05 20:00:00,2018-02-05 21:00:00,184.0,417.0,4.57,39.22,43.77,45.94,8.22,1.57,6.71,0.57,4.07,,60.5,1.32,320.67,,995.0,0.0,16.17,
2018-02-05 21:00:00,2018-02-05 22:00:00,226.0,478.0,3.67,40.99,44.66,48.23,9.35,1.51,6.13,0.63,7.49,,61.5,1.28,310.83,,995.75,0.0,16.03,
2018-02-05 22:00:00,2018-02-05 23:00:00,232.0,466.0,5.69,39.78,45.48,49.2,10.31,1.43,6.95,0.58,8.46,,62.75,0.84,298.33,,996.42,0.0,15.77,
2018-02-05 23:00:00,2018-02-06 00:00:00,227.0,432.0,3.29,36.01,39.28,44.57,7.71,1.13,11.3,1.58,6.95,,64.5,1.09,320.67,,996.58,0.0,15.35,
2018-02-06 00:00:00,2018-02-06 01:00:00,183.0,376.0,2.48,31.85,34.32,46.12,7.85,1.17,9.82,1.28,4.02,,70.83,0.97,188.75,,995.92,0.0,14.8,
2018-02-06 01:00:00,2018-02-06 02:00:00,207.0,395.0,38.4,53.1,59.66,24.41,4.4,1.4,25.48,2.03,1.88,,81.25,0.95,229.75,,995.58,0.0,13.91,
2018-02-06 02:00:00,2018-02-06 03:00:00,213.0,409.0,103.95,38.47,142.42,13.67,4.42,1.38,3.33,0.26,3.8,,83.5,1.0,250.08,,995.58,0.0,13.58,
2018-02-06 03:00:00,2018-02-06 04:00:00,221.0,422.0,68.84,34.07,102.92,49.01,7.95,1.49,4.37,0.55,4.14,,83.58,1.8,271.75,,995.0,0.0,13.94,
2018-02-06 04:00:00,2018-02-06 05:00:00,255.0,454.0,3.06,20.98,24.04,46.11,10.01,0.88,17.55,0.53,4.03,,80.25,2.47,330.25,,994.58,0.0,14.33,
2018-02-06 05:00:00,2018-02-06 06:00:00,195.0,335.0,2.27,17.86,21.08,42.25,6.26,0.73,16.14,0.75,2.5,,84.42,2.1,323.75,,994.92,0.0,13.36,
2018-02-06 06:00:00,2018-02-06 07:00:00,169.0,272.0,2.06,22.04,24.1,43.25,10.22,0.78,13.43,0.3,2.37,,74.42,1.72,314.33,,995.0,0.0,13.53,
2018-02-06 07:00:00,2018-02-06 08:00:00,145.0,255.0,2.37,22.25,24.6,45.19,8.47,0.9,14.76,0.35,1.97,,73.58,2.01,326.5,49.75,995.5,0.0,13.6,
2018-02-06 08:00:00,2018-02-06 09:00:00,166.0,295.0,3.6,20.38,23.98,47.93,11.3,0.98,27.12,0.4,2.05,,65.92,2.08,327.5,271.17,996.17,0.0,14.66,
2018-02-06 09:00:00,2018-02-06 10:00:00,163.0,296.0,2.43,14.39,16.83,49.36,8.74,0.94,59.7,0.52,1.93,,52.92,2.27,329.08,522.42,997.0,0.0,16.85,
2018-02-06 10:00:00,2018-02-06 11:00:00,141.0,285.0,1.95,14.03,15.96,46.52,5.92,0.87,76.99,1.04,1.53,,40.42,2.89,329.75,563.67,997.17,0.0,18.27,
2018-02-06 11:00:00,2018-02-06 12:00:00,118.0,304.0,2.38,13.39,13.75,35.33,6.77,0.67,87.12,0.28,2.61,,34.83,3.62,335.58,599.75,997.0,0.0,18.9,
2018-02-06 12:00:00,2018-02-06 13:00:00,96.0,277.0,1.25,12.84,36.99,6.24,0.45,0.53,93.72,2.01,0.1,,33.67,3.24,331.42,589.25,996.08,0.0,19.31,
2018-02-06 13:00:00,2018-02-06 14:00:00,88.0,239.0,1.31,10.72,35.33,12.05,1.29,0.55,109.75,1.84,0.42,,33.25,3.09,333.5,601.0,994.58,0.0,20.99,
2018-02-06 14:00:00,2018-02-06 15:00:00,103.0,289.0,1.09,,38.02,5.19,0.3,0.4,116.78,2.61,0.0,,27.67,3.87,329.75,601.42,993.92,0.0,22.28,
2018-02-06 15:00:00,2018-02-06 16:00:00,63.0,251.0,0.99,,36.82,5.44,0.23,0.48,121.23,1.83,0.0,,27.92,4.23,322.75,595.0,993.0,0.0,22.14,
2018-02-06 16:00:00,2018-02-06 17:00:00,90.0,317.0,0.85,,35.16,5.28,0.2,0.45,120.43,1.96,0.0,,29.67,3.75,322.83,406.42,993.0,0.0,20.93,
2018-02-06 17:00:00,2018-02-06 18:00:00,77.0,202.0,1.38,10.37,28.66,10.73,1.0,0.58,95.58,2.76,0.24,,44.25,2.97,313.92,92.08,993.0,0.0,19.11,
2018-02-06 18:00:00,2018-02-06 19:00:00,164.0,290.0,0.52,12.59,13.11,37.92,7.86,0.79,80.69,0.2,1.8,,52.75,2.04,315.25,7.8,993.0,0.0,17.73,
2018-02-06 19:00:00,2018-02-06 20:00:00,129.0,257.0,0.4,13.55,13.96,37.45,6.78,0.78,71.79,0.28,2.46,,54.58,2.05,324.67,,993.0,0.0,16.87,
2018-02-06 20:00:00,2018-02-06 21:00:00,117.0,237.0,0.55,19.47,20.03,38.78,7.7,1.03,47.62,0.3,2.48,,63.25,1.58,311.58,,993.58,0.0,15.47,
2018-02-06 21:00:00,2018-02-06 22:00:00,152.0,293.0,0.63,22.23,22.85,40.59,8.47,1.01,46.87,0.3,5.17,,63.08,1.72,301.83,,994.0,0.0,15.34,
2018-02-06 22:00:00,2018-02-06 23:00:00,158.0,312.0,1.95,35.98,37.93,40.03,10.93,1.03,32.19,0.3,4.37,,63.75,1.54,281.58,,994.0,0.0,14.9,
2018-02-06 23:00:00,2018-02-07 00:00:00,173.0,306.0,10.12,37.16,45.71,38.47,7.5,1.0,14.27,0.73,2.39,,68.58,1.51,284.75,,994.0,0.0,14.27,
2018-02-07 00:00:00,2018-02-07 01:00:00,177.0,300.0,5.4,31.1,36.48,45.25,10.95,0.88,20.32,0.3,2.07,,69.33,1.97,313.17,,993.75,0.0,13.82,
2018-02-07 01:00:00,2018-02-07 02:00:00,207.0,335.0,0.6,14.7,15.29,42.61,8.63,0.7,65.5,0.53,1.93,,65.25,1.87,319.67,,993.25,0.0,13.68,
2018-02-07 02:00:00,2018-02-07 03:00:00,155.0,251.0,0.8,12.03,7.92,12.35,5.05,0.28,73.25,0.67,2.38,,66.25,1.82,318.08,,992.83,0.0,13.29,
2018-02-07 03:00:00,2018-02-07 04:00:00,139.0,245.0,0.43,11.3,18.69,32.99,5.37,0.65,75.17,1.36,2.23,,67.58,1.59,315.83,,992.08,0.0,12.66,
2018-02-07 04:00:00,2018-02-07 05:00:00,141.0,232.0,0.58,15.7,27.55,25.65,4.52,0.72,56.17,1.61,1.18,,73.58,1.65,305.42,,992.0,0.0,11.91,
2018-02-07 05:00:00,2018-02-07 06:00:00,146.0,251.0,2.77,26.22,28.45,36.78,8.7,0.74,34.79,0.35,1.66,,75.75,1.79,295.0,,992.0,0.0,11.77,
2018-02-07 06:00:00,2018-02-07 07:00:00,174.0,290.0,1.13,26.21,27.35,42.27,9.85,0.87,20.53,0.38,1.75,,80.58,1.7,303.83,,992.0,0.0,10.56,
2018-02-07 07:00:00,2018-02-07 08:00:00,229.0,343.0,4.74,30.28,35.0,44.83,11.67,0.96,11.82,0.4,1.7,,78.25,1.79,303.58,58.0,992.0,0.0,10.6,
2018-02-07 08:00:00,2018-02-07 09:00:00,239.0,366.0,9.85,30.82,40.64,42.91,12.08,1.07,26.08,0.43,1.85,,63.42,1.94,293.42,305.83,993.0,0.0,13.01,
2018-02-07 09:00:00,2018-02-07 10:00:00,223.0,370.0,6.91,25.75,32.64,38.9,12.18,0.97,56.93,0.4,1.87,,49.25,2.39,296.33,598.67,993.0,0.0,15.7,
2018-02-07 10:00:00,2018-02-07 11:00:00,210.0,362.0,3.86,16.39,20.25,38.24,9.41,0.83,97.31,0.52,1.67,,42.5,2.67,304.0,599.58,993.0,0.0,18.02,
2018-02-07 11:00:00,2018-02-07 12:00:00,180.0,348.0,1.41,16.28,29.55,9.47,1.3,0.59,120.62,1.79,0.23,,34.08,3.51,324.42,600.75,992.83,0.0,20.51,
2018-02-07 12:00:00,2018-02-07 13:00:00,110.0,279.0,0.88,31.8,30.25,6.4,0.51,0.49,131.62,3.24,0.0,,31.17,2.72,312.0,601.25,992.0,0.0,22.02,
2018-02-07 13:00:00,2018-02-07 14:00:00,84.0,229.0,0.88,,32.46,6.28,0.2,0.47,146.4,2.96,0.0,,28.83,2.63,290.33,602.0,991.0,0.0,22.88,
