From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (),Toluene (),Eth-Benzene (),MP-Xylene (),RH (%),WD (degree),SR (W/mt2),BP (mmHg),AT (),RF (mm),Xylene ()
2018-11-11 14:00:00,2018-11-11 15:00:00,130.0,274.0,1.7,54.0,30.1,,26.4,0.8,,3.4,15.3,,,31.8,272.6,214.1,991.2,29.6,0.0,0.1
2018-11-11 15:00:00,2018-11-11 16:00:00,133.25,279.0,1.7,55.07,30.67,25.55,27.97,0.83,,3.68,15.08,,,37.53,271.0,139.6,991.17,28.8,0.0,0.1
2018-11-11 16:00:00,2018-11-11 17:00:00,140.25,281.0,1.58,55.88,30.97,24.3,24.47,0.85,103.53,3.33,12.27,,,53.48,258.1,46.28,991.35,25.35,0.0,0.1
2018-11-11 17:00:00,2018-11-11 18:00:00,153.25,332.0,1.63,64.05,35.4,28.57,20.25,1.4,83.53,3.85,13.33,,,70.07,229.28,6.1,991.52,20.88,0.0,0.15
2018-11-11 18:00:00,2018-11-11 19:00:00,247.0,575.0,1.75,80.07,43.98,37.9,17.8,1.68,53.57,6.8,19.02,,,80.07,228.13,4.62,992.02,19.2,0.0,0.3
2018-11-11 19:00:00,2018-11-11 20:00:00,325.0,568.75,1.85,109.37,59.65,45.68,,1.75,28.7,7.2,21.68,,,86.4,228.3,4.7,992.57,17.85,0.0,0.4
2018-11-11 20:00:00,2018-11-11 21:00:00,299.5,444.75,1.9,108.33,59.15,46.98,,1.97,19.33,8.15,21.98,,,91.02,231.0,4.7,992.77,16.75,0.0,0.43
2018-11-11 21:00:00,2018-11-11 22:00:00,331.0,467.25,1.63,99.6,54.3,45.43,,2.0,18.9,9.25,20.68,,,92.32,235.5,4.6,992.77,16.17,0.0,0.5
2018-11-11 22:00:00,2018-11-11 23:00:00,332.0,512.5,1.77,92.4,50.6,44.78,,2.0,14.68,9.6,19.72,,,95.25,235.53,4.65,992.55,15.72,0.0,0.43
2018-11-11 23:00:00,2018-11-12 00:00:00,329.5,500.0,1.97,91.75,50.43,43.23,,1.83,6.93,9.25,18.55,,,95.65,235.5,4.6,992.15,15.55,0.0,0.43
2018-11-12 00:00:00,2018-11-12 01:00:00,310.75,440.0,1.97,76.52,42.32,37.92,,1.75,4.77,8.38,15.65,,,97.75,235.27,4.57,991.88,14.77,0.0,0.3
2018-11-12 01:00:00,2018-11-12 02:00:00,304.75,391.0,2.03,58.77,32.9,34.93,,1.7,4.38,7.88,12.85,,,98.8,228.75,4.5,991.6,14.65,0.0,0.2
2018-11-12 02:00:00,2018-11-12 03:00:00,304.75,385.0,5.5,55.45,34.0,32.55,,1.7,1.68,7.8,12.75,,,99.45,218.6,4.45,991.4,14.48,0.0,0.25
2018-11-12 03:00:00,2018-11-12 04:00:00,293.5,363.75,5.82,54.48,33.68,31.65,,1.68,1.33,7.73,13.88,,,99.7,218.58,4.45,991.07,13.85,0.0,0.4
2018-11-12 04:00:00,2018-11-12 05:00:00,276.5,336.0,5.05,50.73,31.1,31.0,,1.55,2.28,7.45,13.7,,,99.7,218.58,4.5,990.85,13.42,0.0,0.4
2018-11-12 05:00:00,2018-11-12 06:00:00,263.0,321.75,3.17,50.93,29.62,32.42,,1.53,2.42,7.3,12.85,,,99.7,218.63,4.43,991.05,13.4,0.0,0.33
2018-11-12 06:00:00,2018-11-12 07:00:00,247.25,301.5,6.0,74.4,44.52,37.63,,1.6,2.38,8.48,15.42,,,99.7,218.8,11.3,991.3,13.33,0.0,0.38
2018-11-12 07:00:00,2018-11-12 08:00:00,230.25,294.0,6.83,73.97,44.93,40.15,,1.63,3.95,9.45,17.95,,,99.7,188.2,70.02,991.93,14.45,0.0,0.4
2018-11-12 08:00:00,2018-11-12 09:00:00,245.5,334.0,8.05,97.02,58.15,42.28,,1.75,13.5,9.5,17.8,,,96.15,178.5,174.43,992.45,17.38,0.0,0.4
2018-11-12 09:00:00,2018-11-12 10:00:00,262.0,400.0,3.62,93.3,52.6,43.82,,1.7,44.95,8.73,16.28,,,72.4,276.47,260.47,992.65,21.88,0.0,0.33
2018-11-12 10:00:00,2018-11-12 11:00:00,302.75,441.75,2.9,101.45,56.35,47.05,28.63,1.55,88.95,8.02,16.03,,,59.65,281.03,362.3,992.35,25.07,0.0,0.23
2018-11-12 11:00:00,2018-11-12 12:00:00,287.0,458.5,1.35,100.43,53.93,52.3,21.9,1.45,125.57,7.67,20.3,,,47.77,273.62,413.15,991.58,27.28,0.0,0.23
2018-11-12 12:00:00,2018-11-12 13:00:00,244.75,414.0,1.33,71.23,38.93,31.67,19.62,1.5,121.37,5.32,15.3,,,39.62,252.45,419.95,990.5,28.52,0.0,0.08
2018-11-12 13:00:00,2018-11-12 14:00:00,187.25,324.75,1.5,68.82,37.88,30.25,17.45,5.1,137.27,2.75,3.5,,,35.78,258.32,355.65,989.63,29.55,0.0,0.0
2018-11-12 14:00:00,2018-11-12 15:00:00,147.25,271.5,1.63,56.43,31.32,28.05,14.85,2.16,136.75,2.45,3.15,,,32.55,269.75,270.8,988.98,30.25,0.0,0.0
2018-11-12 15:00:00,2018-11-12 16:00:00,132.0,243.5,1.63,52.05,29.0,26.55,16.23,0.01,129.02,2.2,2.97,,,38.65,298.55,154.0,988.5,29.42,,0.0
2018-11-12 16:00:00,2018-11-12 17:00:00,128.0,244.25,1.5,50.45,28.05,26.12,15.2,0.01,108.05,2.12,3.03,,,53.03,292.45,38.55,988.3,25.0,,0.0
2018-11-12 17:00:00,2018-11-12 18:00:00,129.5,229.5,1.47,73.7,40.45,33.3,13.28,0.18,89.17,3.2,6.05,,,67.85,292.58,5.87,988.38,20.68,,0.03
2018-11-12 18:00:00,2018-11-12 19:00:00,165.25,285.75,1.85,104.77,57.23,37.7,10.9,0.23,39.27,5.75,12.07,,,76.23,292.62,4.75,988.77,19.88,,0.15
2018-11-12 19:00:00,2018-11-12 20:00:00,235.5,339.25,3.18,131.15,72.35,36.9,8.25,,8.73,8.35,20.7,,,82.55,292.68,4.72,989.33,19.2,,0.8
2018-11-12 20:00:00,2018-11-12 21:00:00,239.0,374.25,1.85,107.57,58.73,36.05,7.23,,12.1,7.0,20.1,,,87.25,292.68,4.75,989.4,18.2,,0.88
2018-11-12 21:00:00,2018-11-12 22:00:00,220.75,341.0,1.9,103.0,56.32,36.07,6.4,,9.42,6.0,17.7,,,88.97,292.6,4.7,989.4,17.47,,0.53
2018-11-12 22:00:00,2018-11-12 23:00:00,235.5,338.0,5.85,94.45,54.98,35.35,7.33,,9.12,6.62,17.25,,,91.8,246.92,4.7,989.25,16.65,,0.53
2018-11-12 23:00:00,2018-11-13 00:00:00,273.25,367.0,41.13,107.77,90.75,32.35,8.4,2.3,3.3,7.63,27.4,,,91.52,30.25,4.65,988.8,16.93,,0.73
2018-11-13 00:00:00,2018-11-13 01:00:00,333.75,466.75,58.4,133.83,119.0,34.47,11.45,2.22,3.88,8.77,37.62,,,87.97,17.68,4.67,988.3,17.37,,0.73
2018-11-13 01:00:00,2018-11-13 02:00:00,356.25,525.5,131.33,137.27,180.23,35.8,13.27,2.4,17.23,12.83,71.07,,,89.03,81.95,4.67,988.07,17.27,,2.12
2018-11-13 02:00:00,2018-11-13 03:00:00,360.75,574.25,43.85,99.75,88.85,33.0,13.5,1.55,14.15,10.38,55.45,,,89.08,215.05,4.7,987.88,17.1,,1.7
2018-11-13 03:00:00,2018-11-13 04:00:00,321.5,511.25,32.62,93.02,76.08,32.77,11.23,1.22,8.25,9.5,45.43,,,93.98,264.03,4.62,987.72,15.92,,1.35
2018-11-13 04:00:00,2018-11-13 05:00:00,303.75,432.0,29.4,110.58,82.8,41.45,10.73,1.08,4.52,11.7,55.85,,,97.25,264.22,4.6,987.67,15.48,,2.15
2018-11-13 05:00:00,2018-11-13 06:00:00,295.0,401.5,22.2,101.9,72.3,46.52,6.48,1.13,3.4,13.25,57.98,,,98.38,264.37,4.57,988.07,14.78,,2.5
2018-11-13 06:00:00,2018-11-13 07:00:00,275.25,350.0,19.88,87.65,62.8,42.13,5.27,1.58,3.12,12.08,47.35,,,99.02,264.53,11.58,988.57,14.95,,2.03
2018-11-13 07:00:00,2018-11-13 08:00:00,261.25,347.5,21.6,88.0,64.4,42.0,6.15,1.45,2.5,10.6,35.3,,,98.98,192.05,26.78,989.5,16.1,,1.28
2018-11-13 08:00:00,2018-11-13 09:00:00,266.0,391.25,7.75,101.82,60.43,44.4,7.73,1.18,6.05,9.95,29.1,,,96.55,166.7,33.58,989.85,17.13,,0.8
2018-11-13 09:00:00,2018-11-13 10:00:00,285.75,414.0,4.3,105.38,59.58,44.7,10.5,1.28,11.75,8.88,24.03,,,86.73,176.83,83.27,990.32,19.03,,0.48
2018-11-13 10:00:00,2018-11-13 11:00:00,339.75,474.75,16.02,139.83,87.4,43.15,16.53,1.6,10.4,10.25,32.1,,,77.95,86.92,115.3,990.4,21.15,,0.98
2018-11-13 11:00:00,2018-11-13 12:00:00,421.25,613.75,14.55,161.67,97.85,42.72,24.25,1.77,28.7,9.58,38.32,,,65.07,291.83,327.82,989.45,24.22,,1.4
2018-11-13 12:00:00,2018-11-13 13:00:00,354.25,547.5,7.8,144.8,83.4,40.43,33.55,1.8,90.0,7.6,36.4,,,51.23,244.97,449.85,988.25,27.38,,1.23
2018-11-13 13:00:00,2018-11-13 14:00:00,257.67,432.33,3.1,136.12,74.88,47.4,50.68,1.5,134.47,7.95,48.05,,,44.48,270.53,356.02,987.15,28.55,,0.8
2018-11-13 14:00:00,2018-11-13 15:00:00,255.25,444.75,3.53,126.45,70.17,44.73,95.53,0.92,99.87,5.58,23.15,,,41.05,283.17,254.0,986.53,28.77,,0.28
2018-11-13 15:00:00,2018-11-13 16:00:00,200.5,359.75,2.25,118.85,65.02,49.45,55.05,0.82,96.3,5.1,21.7,,,47.02,294.47,106.88,986.32,27.12,,0.15
2018-11-13 16:00:00,2018-11-13 17:00:00,194.25,316.25,2.0,114.62,62.57,48.18,32.9,0.8,63.98,6.25,33.92,,,59.77,317.8,29.05,986.43,24.22,,0.15
2018-11-13 17:00:00,2018-11-13 18:00:00,187.5,302.0,1.72,102.8,56.05,42.38,22.95,0.93,45.4,6.85,43.12,,,65.02,290.78,5.37,986.57,22.68,,0.23
2018-11-13 18:00:00,2018-11-13 19:00:00,192.0,335.25,1.75,99.62,54.4,41.68,17.93,1.23,28.58,7.82,85.0,,,74.78,304.85,4.65,987.1,21.68,,0.33
2018-11-13 19:00:00,2018-11-13 20:00:00,229.25,381.0,1.95,102.72,56.2,43.9,14.53,1.35,17.52,6.55,32.9,,,81.43,318.02,4.65,987.5,20.72,,0.23
2018-11-13 20:00:00,2018-11-13 21:00:00,271.5,397.0,2.4,105.5,58.07,44.95,13.88,1.57,13.08,8.2,75.33,,,83.15,276.4,4.65,988.07,20.43,,0.35
2018-11-13 21:00:00,2018-11-13 22:00:00,304.5,442.0,6.65,97.08,56.98,36.45,13.75,1.23,7.97,7.68,57.03,,,84.72,183.88,4.62,988.98,20.22,,0.3
2018-11-13 22:00:00,2018-11-13 23:00:00,297.75,434.75,5.2,86.1,50.02,35.1,13.4,0.95,15.15,6.23,30.6,,,87.62,141.05,4.52,989.3,19.88,,0.28
2018-11-13 23:00:00,2018-11-14 00:00:00,270.75,399.5,2.0,77.0,42.53,32.8,13.85,0.77,23.02,4.8,28.05,,,87.58,67.1,4.4,989.1,19.3,,0.13
2018-11-14 00:00:00,2018-11-14 01:00:00,210.25,277.75,2.2,81.4,45.15,33.0,13.57,1.08,18.67,4.78,37.45,,,88.83,195.35,4.43,988.25,18.95,,0.18
2018-11-14 01:00:00,2018-11-14 02:00:00,202.5,270.0,3.07,94.07,52.53,34.33,13.7,0.9,11.0,4.28,24.93,,,92.45,265.28,4.43,987.97,18.38,,0.13
2018-11-14 02:00:00,2018-11-14 03:00:00,173.5,243.25,25.35,123.55,86.3,39.75,12.3,1.25,12.4,4.4,22.95,,,91.75,170.3,4.5,987.27,18.4,,0.13
2018-11-14 03:00:00,2018-11-14 04:00:00,162.75,220.75,22.5,146.55,96.23,45.67,9.83,1.38,4.33,10.03,42.75,,,94.73,158.2,4.55,987.03,17.92,,1.15
2018-11-14 04:00:00,2018-11-14 05:00:00,155.5,196.5,15.4,107.27,69.55,39.93,8.13,0.93,9.95,9.28,42.98,,,88.47,72.75,4.5,987.88,18.43,0.5,1.22
2018-11-14 05:00:00,2018-11-14 06:00:00,131.25,168.5,2.15,90.38,49.82,36.1,7.15,0.73,18.67,4.52,21.8,,,84.27,214.85,4.5,988.1,18.65,,0.4
2018-11-14 06:00:00,2018-11-14 07:00:00,119.0,162.25,3.95,96.1,54.32,35.78,6.08,0.9,4.78,4.98,31.87,,,92.05,256.82,9.1,988.48,16.98,,0.3
2018-11-14 07:00:00,2018-11-14 08:00:00,127.75,169.0,9.92,90.68,56.3,36.85,6.08,1.05,5.62,5.65,31.1,,,94.25,110.85,48.88,989.48,17.12,,0.3
2018-11-14 08:00:00,2018-11-14 09:00:00,139.75,180.75,7.1,67.1,41.48,30.32,8.58,0.97,11.45,5.12,22.82,,,84.8,219.4,131.45,990.4,19.2,,0.2
2018-11-14 09:00:00,2018-11-14 10:00:00,157.0,196.25,5.43,60.8,36.7,30.43,11.43,0.8,20.67,4.63,16.25,,,78.1,221.0,157.85,991.0,20.83,,0.13
2018-11-14 10:00:00,2018-11-14 11:00:00,173.5,215.5,4.3,64.53,38.07,29.87,16.33,0.68,44.05,4.48,15.13,,,65.85,260.98,384.9,990.73,23.67,,0.13
2018-11-14 11:00:00,2018-11-14 12:00:00,157.75,197.0,3.2,73.55,41.75,29.32,23.65,0.6,71.25,3.42,13.0,,,54.23,256.08,469.2,990.15,26.38,,0.1
2018-11-14 12:00:00,2018-11-14 13:00:00,126.25,169.25,3.02,90.85,50.8,35.57,26.03,1.03,107.05,3.67,17.05,,,52.32,229.48,407.22,989.33,27.25,,0.1
2018-11-14 13:00:00,2018-11-14 14:00:00,136.25,194.25,2.8,115.28,63.53,51.05,28.8,1.1,183.3,5.2,24.38,,,47.38,205.7,382.18,988.35,28.38,,0.28
2018-11-14 14:00:00,2018-11-14 15:00:00,143.0,217.5,2.12,128.38,69.98,53.02,23.7,1.18,172.55,6.9,35.05,,,42.95,259.6,267.97,987.93,28.55,,0.5
2018-11-14 15:00:00,2018-11-14 16:00:00,124.5,192.25,2.02,103.85,56.92,44.78,19.42,0.95,122.78,6.8,32.2,,,45.18,298.47,154.28,987.75,27.73,,0.48
2018-11-14 16:00:00,2018-11-14 17:00:00,94.5,154.5,1.85,100.48,54.98,42.93,15.47,0.8,84.25,6.03,26.2,,,57.93,150.05,53.0,987.95,25.28,,0.4
2018-11-14 17:00:00,2018-11-14 18:00:00,92.5,163.5,1.8,105.98,57.83,39.93,6.17,0.87,46.93,5.88,27.53,,,72.45,236.38,6.05,988.17,21.45,,0.58
2018-11-14 18:00:00,2018-11-14 19:00:00,108.5,214.5,2.27,126.73,69.22,39.48,5.0,1.2,13.4,7.3,42.5,,,79.48,320.8,4.67,989.0,20.1,,1.4
2018-11-14 19:00:00,2018-11-14 20:00:00,140.5,226.25,4.73,119.48,67.38,29.33,7.08,1.23,4.15,8.08,39.65,,,82.95,304.28,4.67,989.72,19.97,,1.9
2018-11-14 20:00:00,2018-11-14 21:00:00,160.0,241.75,6.37,91.18,53.7,26.65,8.6,1.18,3.25,5.48,23.55,,,86.05,211.55,4.65,990.08,19.9,,0.9
2018-11-14 21:00:00,2018-11-14 22:00:00,153.5,230.75,11.65,74.27,48.95,23.95,7.23,0.98,7.6,5.57,31.0,,,94.75,161.78,4.48,990.68,19.33,0.5,0.83
2018-11-14 22:00:00,2018-11-14 23:00:00,149.0,238.25,7.38,79.65,48.38,23.83,7.63,0.97,3.58,3.98,29.03,,,98.25,201.98,4.48,990.32,18.62,,0.48
2018-11-14 23:00:00,2018-11-15 00:00:00,129.5,190.5,10.15,79.63,50.52,25.7,8.95,1.2,3.33,4.92,36.72,,,99.08,163.1,4.5,990.4,17.9,,0.67
2018-11-15 00:00:00,2018-11-15 01:00:00,147.0,181.0,19.45,89.82,63.65,28.4,9.1,1.58,2.93,6.72,40.5,,,99.5,329.25,4.5,990.38,17.47,,1.38
2018-11-15 01:00:00,2018-11-15 02:00:00,126.75,156.5,20.93,122.97,82.47,40.97,8.87,1.65,16.4,8.05,41.98,,,99.6,273.4,4.5,990.48,17.3,,2.02
2018-11-15 02:00:00,2018-11-15 03:00:00,109.5,148.25,8.55,88.0,53.8,37.95,3.65,1.2,15.7,8.77,56.83,,,99.67,264.9,4.57,990.52,16.4,,2.5
2018-11-15 03:00:00,2018-11-15 04:00:00,105.5,131.0,8.88,98.22,59.45,40.02,4.23,1.18,12.18,8.12,56.38,,,99.7,283.97,4.6,990.62,15.9,,2.2
2018-11-15 04:00:00,2018-11-15 05:00:00,105.25,138.25,10.52,95.73,59.53,37.15,5.7,0.93,8.88,8.3,58.78,,,99.7,188.88,4.57,991.5,16.3,,2.12
2018-11-15 05:00:00,2018-11-15 06:00:00,97.75,130.5,4.18,79.0,45.42,34.75,6.7,0.7,5.42,7.2,33.5,,,99.7,250.92,4.6,992.23,15.7,,0.8
2018-11-15 06:00:00,2018-11-15 07:00:00,89.75,118.75,2.77,59.35,33.85,26.4,8.5,0.55,8.15,5.73,24.28,,,99.7,256.98,9.9,992.65,15.33,,0.45
2018-11-15 07:00:00,2018-11-15 08:00:00,85.5,106.0,3.77,44.12,26.52,21.57,10.1,0.47,7.2,4.1,15.55,,,99.42,277.2,68.42,993.32,15.88,,0.2
2018-11-15 08:00:00,2018-11-15 09:00:00,85.25,106.5,3.98,47.6,28.57,20.7,10.25,0.53,14.3,2.82,8.25,,,87.0,228.8,186.65,994.05,18.25,,0.1
2018-11-15 09:00:00,2018-11-15 10:00:00,87.5,107.75,3.45,44.57,26.47,19.95,14.7,0.4,25.65,2.43,6.02,,,69.25,234.28,300.7,994.48,21.5,,0.1
2018-11-15 10:00:00,2018-11-15 11:00:00,78.25,101.75,3.05,59.78,33.93,21.2,17.7,0.3,40.8,1.95,4.87,,,56.88,272.0,441.15,994.32,24.3,,0.0
2018-11-15 11:00:00,2018-11-15 12:00:00,62.75,81.75,2.4,64.15,36.2,28.9,17.28,0.3,56.3,1.47,4.5,,,50.42,215.33,468.18,993.88,26.15,,0.0
2018-11-15 12:00:00,2018-11-15 13:00:00,59.75,71.5,2.07,87.85,48.43,45.88,16.43,0.6,72.55,1.52,5.78,,,47.3,128.17,404.95,993.2,26.98,,0.0
2018-11-15 13:00:00,2018-11-15 14:00:00,67.75,91.75,2.07,89.87,49.5,43.5,19.07,0.55,83.23,3.0,27.32,,,48.17,135.9,325.85,992.75,27.1,,0.18
2018-11-15 14:00:00,2018-11-15 15:00:00,81.33,128.0,1.87,74.75,41.25,38.12,14.55,0.5,85.3,2.75,17.65,,,50.7,141.82,246.22,992.23,26.6,,0.1
2018-11-15 15:00:00,2018-11-15 16:00:00,75.67,124.33,1.77,69.4,38.38,35.32,14.95,0.5,79.68,1.87,10.97,,,54.3,144.17,138.07,991.98,25.72,,0.1
2018-11-15 16:00:00,2018-11-15 17:00:00,83.33,135.0,1.68,76.1,41.85,34.05,21.83,0.55,62.9,2.07,13.3,,,59.77,137.2,41.77,991.95,23.88,,0.1
2018-11-15 17:00:00,2018-11-15 18:00:00,95.0,164.67,1.7,85.65,46.92,28.52,20.62,0.57,29.6,2.93,23.78,,,73.3,113.4,6.07,992.25,20.55,,0.1
2018-11-15 18:00:00,2018-11-15 19:00:00,102.33,184.67,2.02,80.67,44.55,21.68,16.17,0.3,15.0,2.95,17.17,,,78.57,99.02,4.62,992.7,19.17,,0.15
2018-11-15 19:00:00,2018-11-15 20:00:00,110.67,185.0,2.0,66.83,37.13,21.7,13.72,0.3,15.0,2.62,10.08,,,80.83,95.12,4.62,992.93,18.47,,0.15
2018-11-15 20:00:00,2018-11-15 21:00:00,129.0,211.67,13.53,84.57,55.95,23.18,13.75,0.45,3.88,2.6,26.92,,,85.07,92.65,4.6,993.1,17.35,,0.15
2018-11-15 21:00:00,2018-11-15 22:00:00,160.67,291.0,25.83,85.83,66.7,25.17,12.95,0.58,2.6,3.97,185.0,,,90.3,95.82,4.55,993.23,16.45,,0.35
2018-11-15 22:00:00,2018-11-15 23:00:00,233.67,368.0,20.72,83.7,61.4,29.6,10.9,0.78,3.35,3.98,77.3,,,90.17,95.25,4.5,993.0,16.25,,0.3
2018-11-15 23:00:00,2018-11-16 00:00:00,315.67,421.0,2.85,85.25,47.62,41.88,8.65,0.97,11.85,4.25,39.47,,,83.33,105.17,4.5,992.82,16.65,,0.2
2018-11-16 00:00:00,2018-11-16 01:00:00,321.5,375.0,2.0,95.58,52.43,47.4,7.45,1.4,18.7,5.27,26.05,,,77.8,114.85,4.52,992.62,16.63,,0.2
2018-11-16 01:00:00,2018-11-16 02:00:00,288.0,337.0,1.83,88.1,48.4,44.2,7.77,1.2,20.05,5.2,24.93,,,77.32,112.02,4.5,992.38,16.05,,0.23
2018-11-16 02:00:00,2018-11-16 03:00:00,238.25,276.0,1.6,66.05,36.55,33.95,6.9,0.95,21.23,4.52,22.65,,,78.35,107.93,4.57,991.93,15.45,,0.2
2018-11-16 03:00:00,2018-11-16 04:00:00,184.0,214.0,1.78,71.12,39.27,35.47,7.48,0.92,19.95,3.85,18.42,,,78.95,109.38,4.57,991.43,15.08,,0.18
2018-11-16 04:00:00,2018-11-16 05:00:00,174.5,227.0,2.4,74.9,41.77,31.25,7.87,0.9,12.35,3.03,22.85,,,81.1,99.75,4.57,991.27,14.43,,0.1
2018-11-16 05:00:00,2018-11-16 06:00:00,172.75,238.25,1.7,48.65,27.28,23.05,9.23,0.43,22.93,2.18,23.75,,,78.05,105.15,4.57,991.65,14.7,,0.1
2018-11-16 06:00:00,2018-11-16 07:00:00,147.5,203.5,1.97,47.15,26.68,22.58,8.97,0.7,15.95,1.7,15.67,,,80.15,93.67,11.35,992.22,14.18,,0.1
2018-11-16 07:00:00,2018-11-16 08:00:00,154.5,218.5,3.73,48.85,29.02,22.23,8.62,0.63,20.15,1.75,8.6,,,75.0,99.23,103.7,992.9,15.53,,0.05
2018-11-16 08:00:00,2018-11-16 09:00:00,151.5,207.0,3.52,42.88,25.65,22.5,12.3,0.58,37.08,1.85,10.45,,,64.38,119.82,265.5,993.45,18.65,,0.08
2018-11-16 09:00:00,2018-11-16 10:00:00,138.5,200.25,2.43,38.35,22.38,22.05,15.7,0.43,56.0,1.55,7.58,,,54.27,130.78,354.8,993.78,21.62,,0.03
2018-11-16 10:00:00,2018-11-16 11:00:00,107.25,156.25,2.18,50.5,26.57,30.0,13.33,0.5,70.45,1.3,6.32,,,46.85,124.67,522.42,993.52,23.45,,0.0
2018-11-16 11:00:00,2018-11-16 12:00:00,85.0,136.5,2.05,63.5,35.5,36.03,10.78,0.45,81.8,2.17,26.28,,,40.45,123.88,571.7,992.72,25.1,,0.08
2018-11-16 12:00:00,2018-11-16 13:00:00,69.5,126.25,1.75,57.85,32.3,32.85,10.03,0.4,90.42,2.33,48.57,,,35.2,113.7,547.75,991.82,26.3,,0.1
2018-11-16 13:00:00,2018-11-16 14:00:00,65.25,114.25,1.68,50.55,28.23,29.4,9.03,0.4,97.3,1.95,27.55,,,30.5,132.35,479.78,990.95,27.12,,0.1
2018-11-16 14:00:00,2018-11-16 15:00:00,56.0,104.75,1.75,48.12,27.0,27.15,8.93,0.43,122.43,1.65,13.47,,,30.87,120.55,354.98,990.1,27.08,,0.03
2018-11-16 15:00:00,2018-11-16 16:00:00,51.5,105.25,1.6,47.05,26.35,24.5,8.2,0.38,116.03,1.5,23.48,,,31.47,115.68,205.4,989.62,26.3,,0.0
2018-11-16 16:00:00,2018-11-16 17:00:00,50.0,99.5,1.37,37.35,20.97,17.38,12.1,0.33,79.05,1.2,56.6,,,36.73,103.18,59.22,989.52,24.25,,0.0
2018-11-16 17:00:00,2018-11-16 18:00:00,62.5,151.25,1.72,53.22,29.77,16.3,12.55,0.47,46.35,1.38,96.4,,,49.62,86.88,6.15,989.68,20.75,,0.1
2018-11-16 18:00:00,2018-11-16 19:00:00,84.5,228.5,1.6,63.57,35.45,18.35,14.68,0.8,29.03,1.68,21.83,,,59.18,75.02,4.67,990.22,19.2,,0.13
2018-11-16 19:00:00,2018-11-16 20:00:00,128.25,236.0,1.7,74.07,40.8,21.5,26.57,0.85,26.1,3.07,65.93,,,63.9,83.65,4.62,990.5,18.65,,0.38
2018-11-16 20:00:00,2018-11-16 21:00:00,149.5,257.75,1.55,54.93,30.5,20.75,21.6,0.7,39.15,2.62,49.18,,,60.62,87.83,4.62,990.8,18.9,,0.28
2018-11-16 21:00:00,2018-11-16 22:00:00,138.5,221.5,1.75,57.95,32.27,27.73,16.95,0.93,31.5,2.45,20.38,,,63.6,90.73,4.6,990.9,18.25,,0.1
2018-11-16 22:00:00,2018-11-16 23:00:00,171.75,245.0,1.8,81.0,44.52,36.57,13.33,1.2,20.45,4.23,22.8,,,69.05,89.23,4.65,991.0,17.1,,0.18
2018-11-16 23:00:00,2018-11-17 00:00:00,190.0,255.75,2.05,91.5,50.35,36.12,13.7,1.07,17.6,5.05,27.07,,,69.25,91.85,4.67,990.95,16.8,,0.25
2018-11-17 00:00:00,2018-11-17 01:00:00,177.0,254.75,2.6,96.32,53.35,34.75,11.9,1.0,8.7,4.67,41.98,,,77.15,96.38,4.65,990.75,15.17,,0.2
2018-11-17 01:00:00,2018-11-17 02:00:00,183.0,265.75,2.73,96.23,53.43,34.9,10.67,0.93,5.05,4.13,47.93,,,81.0,97.0,4.7,990.45,14.17,,0.2
2018-11-17 02:00:00,2018-11-17 03:00:00,204.0,280.75,10.9,84.45,53.8,28.85,11.9,,2.4,4.03,32.8,,,85.02,83.45,4.65,990.1,13.3,,0.2
2018-11-17 03:00:00,2018-11-17 04:00:00,217.5,302.5,7.13,72.92,44.62,25.5,13.38,0.8,2.92,3.6,26.25,,,87.05,73.0,4.6,989.6,12.95,,0.15
2018-11-17 04:00:00,2018-11-17 05:00:00,216.25,311.0,7.33,64.17,40.38,25.77,11.47,1.1,3.85,2.8,14.4,,,85.73,72.27,4.57,989.43,13.0,,0.1
2018-11-17 05:00:00,2018-11-17 06:00:00,230.25,329.5,6.97,60.18,37.68,27.15,8.83,1.13,3.27,2.9,16.0,,,88.95,71.1,4.5,989.77,12.58,,0.1
2018-11-17 06:00:00,2018-11-17 07:00:00,246.25,355.0,12.35,63.32,43.73,27.9,9.4,1.2,2.3,3.45,17.95,,,89.03,74.95,11.1,990.57,12.75,,0.1
2018-11-17 07:00:00,2018-11-17 08:00:00,254.5,378.0,18.9,67.45,51.25,28.25,11.48,1.2,4.7,3.95,20.38,,,84.08,76.98,82.6,991.25,14.3,,0.1
2018-11-17 08:00:00,2018-11-17 09:00:00,247.0,390.25,12.82,76.93,51.38,33.15,18.25,1.18,16.12,4.12,19.02,,,71.83,84.03,219.62,991.85,17.62,,0.08
2018-11-17 09:00:00,2018-11-17 10:00:00,226.25,358.75,3.82,88.95,50.43,42.8,22.3,0.97,50.0,4.75,22.17,,,57.25,108.6,321.27,992.32,21.22,,0.18
2018-11-17 10:00:00,2018-11-17 11:00:00,180.75,279.5,2.47,85.95,47.78,42.32,19.7,0.75,76.58,4.5,39.28,,,48.73,112.1,464.68,992.25,23.92,,0.18
2018-11-17 11:00:00,2018-11-17 12:00:00,141.5,235.25,2.02,73.92,41.0,37.78,16.82,0.57,93.62,3.32,26.07,,,40.18,122.12,540.62,991.5,25.75,,0.1
