From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2016-04-01 05:00:00,2016-04-01 06:00:00,45.25,,,34.38,,,,,,2.25,8.66,1.04,3.32,1.25,27.16,30.51,0.58,,1.5,,
2016-04-01 06:00:00,2016-04-01 07:00:00,49.44,81.55,13.34,78.41,51.66,106.44,6.24,0.86,4.88,2.44,12.72,1.55,4.93,1.9,26.43,37.41,0.1,120.0,95.7,,
2016-04-01 07:00:00,2016-04-01 08:00:00,53.54,113.23,22.43,126.89,84.29,169.82,12.44,1.4,5.48,7.31,26.26,4.03,13.32,5.86,31.16,32.53,0.48,193.6,280.8,,
2016-04-01 08:00:00,2016-04-01 09:00:00,67.49,132.75,1.72,34.76,19.38,48.04,15.2,0.51,56.56,5.82,24.45,4.04,12.88,6.31,37.3,15.42,0.73,250.42,463.5,,
2016-04-01 09:00:00,2016-04-01 10:00:00,53.72,123.5,3.96,35.2,21.57,49.13,13.74,0.65,70.13,1.77,8.44,1.0,3.7,1.3,39.52,12.53,0.36,258.42,630.0,,
2016-04-01 10:00:00,2016-04-01 11:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-01 11:00:00,2016-04-01 12:00:00,52.36,,,15.74,,,,,,1.74,9.07,0.98,3.85,1.35,43.01,9.17,0.42,,760.7,,
2016-04-01 12:00:00,2016-04-01 13:00:00,36.63,97.74,7.52,50.84,32.59,68.05,10.06,0.74,71.85,0.77,4.05,0.45,1.35,0.5,44.34,8.65,0.75,204.46,758.3,,
2016-04-01 13:00:00,2016-04-01 14:00:00,38.17,89.15,6.15,59.74,36.08,77.52,10.2,0.8,71.24,2.23,12.23,1.36,5.79,2.09,45.21,8.99,0.54,189.06,693.8,,
2016-04-01 14:00:00,2016-04-01 15:00:00,31.83,74.35,4.94,38.07,23.85,52.62,8.99,0.62,71.32,1.57,9.95,1.11,4.72,1.68,45.31,8.25,0.5,252.75,593.4,,
2016-04-01 15:00:00,2016-04-01 16:00:00,33.77,98.16,8.04,49.19,32.05,68.6,7.14,0.63,59.62,0.69,6.77,0.5,1.56,0.57,45.18,8.34,0.89,223.39,420.0,,
2016-04-01 16:00:00,2016-04-01 17:00:00,35.37,83.41,4.52,68.95,39.41,83.15,5.36,0.8,57.11,2.08,14.97,1.62,6.83,2.55,44.65,9.07,0.6,221.12,238.8,,
2016-04-01 17:00:00,2016-04-01 18:00:00,24.71,121.9,28.24,167.28,110.04,216.94,43.37,1.42,14.26,3.86,23.77,3.29,13.17,5.18,42.17,13.93,0.32,204.43,65.3,,
2016-04-01 18:00:00,2016-04-01 19:00:00,40.32,149.75,241.3,275.48,337.43,,46.87,4.91,0.89,15.53,73.05,14.04,45.65,19.12,37.14,24.64,0.46,272.92,,,
2016-04-01 19:00:00,2016-04-01 20:00:00,68.81,156.79,113.79,195.63,193.46,346.45,2.87,5.15,0.91,22.31,89.37,18.45,58.65,25.98,35.3,24.99,0.53,242.89,,,
2016-04-01 20:00:00,2016-04-01 21:00:00,68.59,147.16,80.5,162.97,149.7,272.77,8.48,1.96,0.86,15.05,65.24,12.72,41.93,18.32,37.44,15.54,0.62,265.46,,,
2016-04-01 21:00:00,2016-04-01 22:00:00,66.7,144.01,58.14,145.49,122.64,227.66,8.0,1.56,1.25,8.62,37.71,6.19,23.36,9.61,36.11,18.01,0.62,262.85,,,
2016-04-01 22:00:00,2016-04-01 23:00:00,69.14,124.03,12.19,118.47,71.61,146.87,9.55,0.75,12.36,5.75,26.43,3.91,16.22,6.4,35.07,20.25,0.45,220.79,,,
2016-04-01 23:00:00,2016-04-02 00:00:00,71.55,120.8,10.6,123.84,73.2,151.83,8.03,0.8,3.6,6.55,28.88,4.51,18.18,7.28,32.81,25.23,0.61,222.57,3.1,,
2016-04-02 00:00:00,2016-04-02 01:00:00,74.22,119.48,1.69,81.2,43.78,96.97,7.1,0.65,11.96,3.63,16.79,2.13,9.5,3.56,31.41,28.64,0.59,215.01,2.3,,
2016-04-02 01:00:00,2016-04-02 02:00:00,67.42,93.2,3.25,76.86,42.67,93.75,8.02,0.47,15.79,2.43,10.93,1.26,5.58,2.03,31.48,24.83,0.53,184.12,6.2,,
2016-04-02 02:00:00,2016-04-02 03:00:00,52.39,84.44,1.22,36.58,20.09,48.54,8.57,0.34,24.74,2.41,10.6,1.25,5.37,1.98,30.05,29.01,0.36,238.17,7.8,,
2016-04-02 03:00:00,2016-04-02 04:00:00,52.86,83.87,1.7,15.88,9.39,27.38,12.5,0.19,47.63,1.17,4.6,0.54,1.92,0.69,34.58,17.44,1.07,281.71,,,
2016-04-02 04:00:00,2016-04-02 05:00:00,33.55,88.66,0.5,19.37,10.52,29.52,18.13,0.26,40.46,0.83,4.49,0.41,0.97,0.36,33.17,20.02,0.9,291.44,,,
2016-04-02 05:00:00,2016-04-02 06:00:00,39.31,80.0,0.06,19.1,9.85,28.58,10.36,0.28,38.24,1.36,5.33,0.5,1.27,0.59,32.24,22.17,0.65,273.47,1.5,,
2016-04-02 06:00:00,2016-04-02 07:00:00,58.82,102.99,27.93,93.89,71.45,138.9,9.36,1.08,8.5,2.39,10.24,1.1,4.35,1.79,32.0,24.3,0.48,204.73,79.3,,
2016-04-02 07:00:00,2016-04-02 08:00:00,68.48,127.67,19.41,118.15,77.3,158.56,12.14,1.3,13.83,5.35,20.96,2.75,11.1,4.56,33.62,27.31,0.63,174.41,249.7,,
2016-04-02 08:00:00,2016-04-02 09:00:00,95.19,172.75,3.34,76.64,42.69,96.22,23.82,1.02,57.95,12.6,22.43,3.54,10.74,4.73,35.5,24.18,0.66,192.99,434.8,,
2016-04-02 09:00:00,2016-04-02 10:00:00,77.25,170.9,3.71,67.44,38.21,89.75,19.4,1.01,83.0,5.29,18.27,2.29,8.07,3.24,38.58,18.82,0.68,164.3,616.8,,
2016-04-02 10:00:00,2016-04-02 11:00:00,78.05,150.37,3.79,80.62,45.06,98.92,16.71,1.13,97.34,5.86,21.36,2.58,9.66,3.8,41.37,15.42,0.63,172.49,711.7,,
2016-04-02 11:00:00,2016-04-02 12:00:00,69.9,146.27,1.68,44.5,24.47,60.28,13.77,0.78,116.08,5.34,21.03,2.44,8.46,3.47,42.65,13.25,0.37,136.76,752.9,,
2016-04-02 12:00:00,2016-04-02 13:00:00,67.11,140.28,1.7,46.93,25.68,60.88,11.31,0.64,104.46,5.04,22.12,2.63,9.16,3.68,44.43,11.46,0.36,173.01,715.5,,
2016-04-02 13:00:00,2016-04-02 14:00:00,58.97,109.12,4.53,58.94,34.26,77.89,10.35,0.64,87.39,2.44,12.19,1.21,4.23,1.76,45.14,10.74,0.86,165.01,674.3,,
2016-04-02 14:00:00,2016-04-02 15:00:00,46.29,122.83,4.78,58.22,34.24,75.39,9.99,0.68,93.31,1.23,6.93,0.71,2.25,0.86,45.52,10.1,0.78,151.67,550.7,,
2016-04-02 15:00:00,2016-04-02 16:00:00,52.77,102.23,2.82,62.52,34.9,81.21,10.53,0.71,92.83,2.52,12.74,1.42,5.47,2.0,45.71,10.03,0.66,180.25,395.1,,
2016-04-02 16:00:00,2016-04-02 17:00:00,40.0,99.89,2.53,92.02,50.03,110.81,10.7,0.81,76.6,2.82,15.99,1.93,7.11,2.81,44.9,11.46,0.63,165.21,210.8,,
2016-04-02 17:00:00,2016-04-02 18:00:00,50.31,94.62,1.59,113.89,60.71,133.85,9.73,1.1,57.88,3.98,21.26,2.84,10.08,5.3,42.24,14.13,0.49,139.34,39.7,,
2016-04-02 18:00:00,2016-04-02 19:00:00,66.26,159.73,185.22,345.35,328.97,,16.37,4.54,0.75,22.54,100.43,20.54,61.36,28.27,37.97,24.8,0.03,60.15,,,
2016-04-02 19:00:00,2016-04-02 20:00:00,95.29,190.9,138.41,279.37,256.95,465.57,15.07,4.04,0.42,23.41,103.55,21.86,63.82,29.84,36.43,28.87,0.12,283.72,,,
2016-04-02 20:00:00,2016-04-02 21:00:00,102.42,202.17,245.94,307.98,358.14,,15.87,4.68,0.62,28.63,123.51,26.92,77.59,36.58,35.26,30.03,0.42,299.74,0.8,,
2016-04-02 21:00:00,2016-04-02 22:00:00,87.97,209.59,309.42,305.67,407.83,,17.53,6.04,1.2,27.74,119.41,27.36,76.97,35.61,34.42,32.62,0.53,221.86,,,
2016-04-02 22:00:00,2016-04-02 23:00:00,110.3,222.45,133.54,227.78,226.1,407.25,13.29,3.64,1.18,25.83,107.31,23.65,68.74,31.34,33.48,33.04,0.57,224.18,,,
2016-04-02 23:00:00,2016-04-03 00:00:00,103.11,198.34,69.28,185.87,152.66,291.1,14.08,2.51,0.45,19.85,86.9,18.25,54.64,24.59,32.41,35.18,0.48,227.51,4.7,,
2016-04-03 00:00:00,2016-04-03 01:00:00,112.74,194.02,54.66,166.78,130.97,254.48,9.73,1.94,0.44,15.75,67.42,13.47,41.5,18.48,31.31,38.16,0.45,278.93,,,
2016-04-03 01:00:00,2016-04-03 02:00:00,97.55,169.83,7.98,115.97,66.99,149.12,8.78,1.24,0.84,10.48,47.96,8.66,28.42,12.28,31.14,35.93,0.6,283.18,28.8,,
2016-04-03 02:00:00,2016-04-03 03:00:00,93.78,138.58,1.15,86.48,45.94,107.66,25.33,0.84,8.8,7.27,34.49,5.35,17.74,7.55,30.72,36.13,0.44,256.22,16.3,,
2016-04-03 03:00:00,2016-04-03 04:00:00,84.54,134.44,0.68,56.96,30.3,75.19,17.4,0.53,19.05,5.63,25.69,3.85,12.13,5.22,30.78,37.32,0.2,326.96,17.9,,
2016-04-03 04:00:00,2016-04-03 05:00:00,66.49,128.32,0.87,68.22,36.34,86.83,10.75,0.52,8.96,4.83,26.29,3.34,10.71,4.56,29.32,41.66,0.32,268.82,6.2,,
2016-04-03 05:00:00,2016-04-03 06:00:00,66.43,108.56,3.72,66.06,37.5,88.05,10.66,0.54,9.29,4.38,22.93,2.89,9.35,3.99,29.36,40.98,0.51,215.16,23.3,,
2016-04-03 06:00:00,2016-04-03 07:00:00,68.94,117.27,11.22,78.94,50.24,109.35,12.21,1.02,4.59,3.98,17.69,2.18,7.61,3.19,29.41,41.74,0.36,210.68,98.8,,
2016-04-03 07:00:00,2016-04-03 08:00:00,87.7,139.34,13.78,110.04,68.55,147.86,14.04,1.28,10.59,6.63,24.85,3.46,12.32,5.35,33.46,35.11,0.27,186.87,259.8,,
2016-04-03 08:00:00,2016-04-03 09:00:00,88.73,156.49,5.15,88.93,50.58,116.76,31.27,1.14,52.31,8.48,21.58,2.99,10.33,4.44,37.04,27.55,0.6,164.66,424.7,,
2016-04-03 09:00:00,2016-04-03 10:00:00,85.4,176.42,1.48,50.87,27.52,72.31,25.62,0.96,88.86,5.48,18.67,2.33,7.77,3.21,39.66,23.03,0.64,159.0,588.8,,
2016-04-03 10:00:00,2016-04-03 11:00:00,76.42,154.69,1.7,35.4,19.7,53.44,19.08,0.63,98.65,3.51,9.83,1.16,3.82,1.45,42.13,19.38,0.56,175.68,678.2,,
2016-04-03 11:00:00,2016-04-03 12:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 12:00:00,2016-04-03 13:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 13:00:00,2016-04-03 14:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 14:00:00,2016-04-03 15:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 15:00:00,2016-04-03 16:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 16:00:00,2016-04-03 17:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 17:00:00,2016-04-03 18:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 18:00:00,2016-04-03 19:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 19:00:00,2016-04-03 20:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 20:00:00,2016-04-03 21:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 21:00:00,2016-04-03 22:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 22:00:00,2016-04-03 23:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-03 23:00:00,2016-04-04 00:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 00:00:00,2016-04-04 01:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 01:00:00,2016-04-04 02:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 02:00:00,2016-04-04 03:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 03:00:00,2016-04-04 04:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 04:00:00,2016-04-04 05:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 05:00:00,2016-04-04 06:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 06:00:00,2016-04-04 07:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 07:00:00,2016-04-04 08:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 08:00:00,2016-04-04 09:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 09:00:00,2016-04-04 10:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 10:00:00,2016-04-04 11:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-04 11:00:00,2016-04-04 12:00:00,67.38,140.71,,80.44,48.25,107.75,24.89,1.26,77.43,2.84,,,,,42.87,20.58,0.67,,,,
2016-04-04 12:00:00,2016-04-04 13:00:00,67.55,142.42,3.58,53.28,30.51,72.98,24.13,0.92,93.25,4.82,16.82,1.9,7.48,3.08,44.12,17.87,0.75,127.93,684.4,,
2016-04-04 13:00:00,2016-04-04 14:00:00,61.35,125.79,2.27,49.45,27.58,67.68,21.78,0.83,99.56,3.31,14.77,1.6,6.49,2.67,44.94,17.13,0.74,179.93,630.0,,
2016-04-04 14:00:00,2016-04-04 15:00:00,48.09,113.56,2.72,46.79,26.42,63.42,27.46,0.77,93.15,3.28,17.1,2.05,8.76,3.39,45.65,14.78,0.51,129.14,524.2,,
2016-04-04 15:00:00,2016-04-04 16:00:00,52.84,114.15,3.43,73.26,40.89,92.72,19.4,0.92,78.2,3.05,15.15,1.75,6.88,2.69,45.21,16.24,0.46,191.45,217.0,,
2016-04-04 16:00:00,2016-04-04 17:00:00,66.12,112.01,0.68,63.87,33.9,79.98,15.39,0.85,73.84,4.05,22.34,2.9,12.09,4.72,44.43,18.12,0.54,101.4,159.4,,
2016-04-04 17:00:00,2016-04-04 18:00:00,67.17,133.48,8.66,229.1,126.64,266.42,16.67,2.53,14.57,12.97,55.93,9.87,31.72,14.09,41.24,27.97,0.09,61.43,70.0,,
2016-04-04 18:00:00,2016-04-04 19:00:00,81.67,180.32,0.92,161.1,84.84,188.97,17.84,2.03,20.15,29.9,131.18,26.85,75.85,35.4,41.73,21.92,0.66,97.3,70.0,,
2016-04-04 19:00:00,2016-04-04 20:00:00,98.32,185.58,8.44,88.4,52.94,117.82,23.88,1.05,35.83,12.52,59.09,11.61,37.13,18.62,40.75,21.88,0.02,86.31,70.0,,
2016-04-04 20:00:00,2016-04-04 21:00:00,80.72,159.08,0.47,46.91,24.59,61.87,8.13,0.53,49.3,3.55,18.67,2.51,11.17,4.4,39.95,22.84,0.8,81.45,70.0,,
2016-04-04 21:00:00,2016-04-04 22:00:00,64.74,109.98,2.48,118.32,63.81,142.18,6.97,1.15,18.58,4.5,23.09,3.18,12.98,5.4,38.85,25.09,0.07,40.02,70.0,,
2016-04-04 22:00:00,2016-04-04 23:00:00,56.57,127.42,5.74,100.85,57.29,125.42,10.69,0.94,15.88,7.4,33.35,5.38,19.35,9.52,38.12,28.07,0.58,142.18,70.0,,
2016-04-04 23:00:00,2016-04-05 00:00:00,63.25,111.09,3.3,92.7,51.0,115.24,14.46,0.66,20.57,5.06,24.0,3.39,13.5,6.0,37.33,28.63,0.58,287.77,3.9,,
2016-04-05 00:00:00,2016-04-05 01:00:00,55.05,109.31,6.64,100.66,57.88,126.82,11.01,0.92,6.97,5.15,25.02,4.37,13.71,6.09,35.72,33.02,0.56,256.59,70.0,,
2016-04-05 01:00:00,2016-04-05 02:00:00,55.39,87.41,1.18,43.87,23.61,59.49,6.87,0.51,27.29,2.77,14.34,1.71,7.02,2.85,35.47,33.05,0.29,212.62,31.1,,
2016-04-05 02:00:00,2016-04-05 03:00:00,58.08,88.77,1.52,44.27,24.35,62.02,4.73,0.48,18.31,2.6,12.68,1.35,5.46,2.21,33.98,38.15,0.19,54.13,70.0,,
2016-04-05 03:00:00,2016-04-05 04:00:00,44.59,85.28,0.28,32.19,17.03,47.29,9.16,0.45,28.33,2.37,12.18,1.17,4.61,1.85,34.03,34.97,0.28,245.65,17.1,,
2016-04-05 04:00:00,2016-04-05 05:00:00,48.87,83.47,0.8,28.31,15.43,44.16,11.56,0.46,25.53,2.36,9.35,0.82,3.03,1.19,32.44,40.32,0.69,288.97,70.0,,
2016-04-05 05:00:00,2016-04-05 06:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 06:00:00,2016-04-05 07:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 07:00:00,2016-04-05 08:00:00,57.96,,,46.58,,,,,,3.41,14.95,1.72,7.15,2.87,35.0,34.12,0.55,,224.8,,
2016-04-05 08:00:00,2016-04-05 09:00:00,76.73,130.34,0.84,29.27,15.88,45.68,9.67,0.6,48.33,2.97,10.6,1.03,4.05,1.64,36.8,27.64,0.44,48.89,345.3,,
2016-04-05 09:00:00,2016-04-05 10:00:00,73.48,118.74,1.61,42.53,23.35,61.79,37.46,0.88,63.93,2.91,9.27,0.91,3.28,1.28,39.23,26.55,0.28,242.88,591.9,,
2016-04-05 10:00:00,2016-04-05 11:00:00,56.32,126.21,1.9,29.52,16.88,46.06,20.37,0.64,85.18,2.32,9.6,1.07,4.25,1.58,40.88,23.02,1.05,102.43,650.2,,
2016-04-05 11:00:00,2016-04-05 12:00:00,53.07,105.25,1.4,22.07,12.65,37.1,10.27,0.42,91.34,3.76,16.95,1.96,7.78,3.07,41.63,21.33,0.19,11.51,466.7,,
2016-04-05 12:00:00,2016-04-05 13:00:00,57.16,100.67,1.1,39.57,21.48,54.59,47.11,0.53,73.88,1.31,7.93,0.83,3.55,1.27,41.16,21.48,1.0,278.25,279.2,,
2016-04-05 13:00:00,2016-04-05 14:00:00,49.31,101.61,1.22,30.06,16.67,44.36,39.83,0.49,89.55,1.25,7.16,0.77,3.27,1.16,42.47,18.81,0.32,338.09,562.3,,
2016-04-05 14:00:00,2016-04-05 15:00:00,43.04,98.48,1.42,23.86,13.44,36.77,11.14,0.51,82.38,1.06,5.96,0.59,2.19,0.77,42.38,18.35,1.19,288.56,432.4,,
2016-04-05 15:00:00,2016-04-05 16:00:00,49.27,93.83,1.64,32.41,18.25,45.86,6.63,0.55,69.73,0.94,5.6,0.57,2.06,0.83,41.23,19.31,1.16,275.3,210.0,,
2016-04-05 16:00:00,2016-04-05 17:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 17:00:00,2016-04-05 18:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 18:00:00,2016-04-05 19:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 19:00:00,2016-04-05 20:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 20:00:00,2016-04-05 21:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 21:00:00,2016-04-05 22:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 22:00:00,2016-04-05 23:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-05 23:00:00,2016-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 00:00:00,2016-04-06 01:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 01:00:00,2016-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 02:00:00,2016-04-06 03:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 03:00:00,2016-04-06 04:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 04:00:00,2016-04-06 05:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 05:00:00,2016-04-06 06:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 06:00:00,2016-04-06 07:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 07:00:00,2016-04-06 08:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 08:00:00,2016-04-06 09:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 09:00:00,2016-04-06 10:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 10:00:00,2016-04-06 11:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 11:00:00,2016-04-06 12:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 12:00:00,2016-04-06 13:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 13:00:00,2016-04-06 14:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 14:00:00,2016-04-06 15:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 15:00:00,2016-04-06 16:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 16:00:00,2016-04-06 17:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 17:00:00,2016-04-06 18:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 18:00:00,2016-04-06 19:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 19:00:00,2016-04-06 20:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 20:00:00,2016-04-06 21:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 21:00:00,2016-04-06 22:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 22:00:00,2016-04-06 23:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-06 23:00:00,2016-04-07 00:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 00:00:00,2016-04-07 01:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 01:00:00,2016-04-07 02:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 02:00:00,2016-04-07 03:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 03:00:00,2016-04-07 04:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 04:00:00,2016-04-07 05:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 05:00:00,2016-04-07 06:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 06:00:00,2016-04-07 07:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 07:00:00,2016-04-07 08:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 08:00:00,2016-04-07 09:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 09:00:00,2016-04-07 10:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 10:00:00,2016-04-07 11:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 11:00:00,2016-04-07 12:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 12:00:00,2016-04-07 13:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 13:00:00,2016-04-07 14:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-07 14:00:00,2016-04-07 15:00:00,,,,51.58,,,,,,,7.22,0.87,3.76,1.3,,,0.79,,444.1,,
2016-04-07 15:00:00,2016-04-07 16:00:00,28.68,42.87,6.8,49.67,31.69,73.74,4.7,0.87,62.51,1.59,12.42,1.4,5.96,2.23,41.68,23.07,0.61,199.47,368.08,,
2016-04-07 16:00:00,2016-04-07 17:00:00,28.0,46.15,9.67,86.41,52.9,114.47,5.07,1.16,42.08,3.89,24.51,3.38,14.19,5.62,42.08,20.53,0.73,180.99,258.2,,
2016-04-07 17:00:00,2016-04-07 18:00:00,24.77,59.23,11.41,152.09,88.61,186.42,5.83,1.83,15.98,6.09,33.32,5.17,20.29,8.34,40.22,23.31,0.65,172.94,70.0,,
2016-04-07 18:00:00,2016-04-07 19:00:00,41.09,71.93,82.22,228.02,185.06,347.34,9.84,3.18,2.65,10.73,56.53,10.39,35.62,15.48,37.14,31.61,0.14,20.38,,,
2016-04-07 19:00:00,2016-04-07 20:00:00,54.57,101.89,176.7,247.13,270.82,468.85,11.9,3.99,0.79,19.98,93.12,19.64,61.95,28.36,34.88,40.15,0.51,286.21,7.0,,
2016-04-07 20:00:00,2016-04-07 21:00:00,73.61,131.53,288.14,272.65,373.52,,14.19,6.14,2.78,27.63,116.5,25.83,78.0,35.96,33.92,44.99,0.3,264.21,16.3,,
2016-04-07 21:00:00,2016-04-07 22:00:00,83.2,154.24,208.11,235.29,289.82,496.19,11.65,5.06,0.27,26.67,113.68,24.9,76.53,35.36,33.45,46.04,0.48,258.18,63.0,,
2016-04-07 22:00:00,2016-04-07 23:00:00,97.16,150.7,195.02,226.61,274.79,471.62,11.42,4.9,0.48,27.46,113.31,24.67,74.56,34.6,32.93,48.33,0.47,278.34,49.0,,
2016-04-07 23:00:00,2016-04-08 00:00:00,96.46,149.04,147.34,199.62,222.45,390.67,9.96,3.95,0.18,24.31,105.81,22.45,69.39,31.79,32.07,51.57,0.45,237.08,52.1,,
2016-04-08 00:00:00,2016-04-08 01:00:00,80.12,129.24,2.39,79.61,43.38,102.06,12.93,0.77,8.84,11.95,59.11,11.11,36.52,15.93,33.38,38.42,0.45,265.42,42.0,,
2016-04-08 01:00:00,2016-04-08 02:00:00,62.45,113.67,0.88,50.8,27.25,69.67,6.23,0.51,18.81,4.99,27.1,3.82,12.64,5.55,31.33,45.47,0.19,190.38,55.2,,
2016-04-08 02:00:00,2016-04-08 03:00:00,55.0,102.9,1.19,56.01,30.2,74.2,4.65,0.49,10.94,4.34,23.28,3.01,9.74,4.17,30.37,50.77,0.39,200.28,63.8,,
2016-04-08 03:00:00,2016-04-08 04:00:00,52.51,79.11,5.24,45.61,28.03,68.15,2.74,0.51,8.39,4.26,21.57,2.7,8.58,3.68,29.77,55.35,0.59,269.94,67.7,,
2016-04-08 04:00:00,2016-04-08 05:00:00,46.77,75.97,0.9,35.63,19.34,52.35,3.42,0.3,14.16,4.06,19.56,2.3,7.45,3.08,30.09,51.81,0.54,288.86,70.0,,
2016-04-08 05:00:00,2016-04-08 06:00:00,43.04,69.94,0.99,50.79,27.33,68.65,4.36,0.35,11.42,3.54,16.25,1.85,6.4,2.6,29.24,54.95,0.43,218.85,42.0,,
2016-04-08 06:00:00,2016-04-08 07:00:00,46.16,71.87,6.58,57.7,35.43,82.14,5.03,0.7,9.41,5.44,25.43,3.55,12.57,5.23,29.99,51.87,0.49,280.02,137.7,,
2016-04-08 07:00:00,2016-04-08 08:00:00,57.54,93.99,2.87,38.07,22.19,57.96,5.87,0.57,27.71,2.83,11.44,1.3,4.66,1.86,33.57,41.73,0.48,113.06,294.8,,
2016-04-08 08:00:00,2016-04-08 09:00:00,62.46,94.56,2.51,47.16,26.52,67.84,10.15,0.77,60.56,4.08,12.1,1.23,4.6,1.88,36.99,32.53,0.66,130.88,462.0,,
2016-04-08 09:00:00,2016-04-08 10:00:00,58.94,105.83,1.02,36.0,19.63,54.31,17.96,0.67,98.43,4.03,11.88,1.33,4.65,1.87,38.65,27.61,0.49,76.52,584.1,,
2016-04-08 10:00:00,2016-04-08 11:00:00,62.04,116.22,1.36,34.92,19.23,52.6,46.13,0.6,111.53,6.1,17.83,2.22,6.89,2.95,40.83,24.41,0.81,172.47,696.1,,
