From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (),WD (degree),SR (),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2018-03-01 00:00:00,2018-03-01 01:00:00,124.42,268.08,204.42,176.91,336.9,48.1,17.71,3.52,2.42,2.17,7.01,,84.0,0.63,310.08,3.08,989.25,0.0,19.24,
2018-03-01 01:00:00,2018-03-01 02:00:00,135.0,280.67,155.66,250.75,224.89,42.87,13.47,3.27,2.62,5.52,6.1,,86.42,0.63,326.42,3.0,989.0,0.0,18.75,
2018-03-01 02:00:00,2018-03-01 03:00:00,136.0,263.67,162.16,85.66,306.0,26.63,14.41,2.14,1.94,1.25,9.28,,84.08,0.95,321.0,3.0,988.75,0.0,18.42,
2018-03-01 03:00:00,2018-03-01 04:00:00,122.25,231.75,134.07,80.02,262.72,56.42,18.85,2.2,1.52,1.17,8.11,,85.08,0.87,322.5,3.0,988.0,0.0,17.98,
2018-03-01 04:00:00,2018-03-01 05:00:00,122.83,218.0,111.71,85.61,211.57,59.02,19.07,1.91,1.8,0.87,6.97,,89.42,0.58,316.17,3.0,988.0,0.0,17.12,
2018-03-01 05:00:00,2018-03-01 06:00:00,127.58,210.58,117.27,68.03,228.04,68.67,16.59,1.81,1.88,,,,92.17,0.7,314.83,3.0,988.0,0.0,16.79,
2018-03-01 06:00:00,2018-03-01 07:00:00,147.25,250.33,149.65,60.6,252.88,70.14,19.05,1.94,1.93,,,,91.25,0.85,307.83,4.0,988.5,0.0,17.02,
2018-03-01 07:00:00,2018-03-01 08:00:00,171.92,292.5,205.93,86.1,369.76,85.67,30.43,2.3,2.67,,,,84.33,1.05,302.17,45.58,989.08,0.0,18.31,
2018-03-01 08:00:00,2018-03-01 09:00:00,248.25,392.25,103.49,97.23,235.29,51.19,65.2,1.93,6.09,,,,72.58,1.38,282.42,167.92,989.92,0.0,20.85,
2018-03-01 09:00:00,2018-03-01 10:00:00,296.25,445.92,33.17,96.16,135.25,94.67,49.35,1.58,25.14,,,,61.5,1.38,321.25,213.5,990.0,0.0,23.07,
2018-03-01 10:00:00,2018-03-01 11:00:00,234.92,367.5,20.63,66.13,86.07,75.59,36.11,1.27,65.26,,,,51.5,2.07,296.17,385.0,990.5,0.0,25.1,
2018-03-01 11:00:00,2018-03-01 12:00:00,157.5,290.33,8.21,47.96,55.68,86.78,39.3,1.23,115.15,,,,42.83,1.76,303.58,361.0,990.0,0.0,26.69,
2018-03-01 12:00:00,2018-03-01 13:00:00,160.17,266.58,3.69,48.46,49.79,73.9,43.32,0.98,148.88,0.6,3.57,,34.08,1.9,303.92,461.83,989.42,0.0,28.37,
2018-03-01 13:00:00,2018-03-01 14:00:00,104.17,202.67,5.93,41.15,42.6,52.01,29.78,0.8,138.98,0.85,3.53,,31.17,2.87,301.83,302.08,989.0,0.0,28.76,
2018-03-01 14:00:00,2018-03-01 15:00:00,66.92,174.08,2.79,33.36,34.63,48.77,24.74,0.73,118.83,0.47,3.4,,33.33,2.78,303.33,356.67,988.0,0.0,28.95,
2018-03-01 15:00:00,2018-03-01 16:00:00,73.17,164.67,4.96,30.28,32.77,46.47,24.85,0.57,89.41,0.66,2.66,,29.67,2.77,312.25,276.0,987.08,0.0,29.55,
2018-03-01 16:00:00,2018-03-01 17:00:00,49.25,132.83,5.85,37.0,37.76,38.93,11.28,0.56,65.01,0.47,2.42,,31.0,2.67,303.33,116.83,987.0,0.0,28.24,
2018-03-01 17:00:00,2018-03-01 18:00:00,40.58,132.75,3.53,58.51,58.83,41.61,21.62,0.82,50.18,0.43,3.66,,35.33,1.58,323.42,61.42,987.0,0.0,27.35,
2018-03-01 18:00:00,2018-03-01 19:00:00,45.5,150.42,20.56,91.67,94.6,39.52,19.5,1.0,17.53,0.59,3.52,,37.75,1.06,313.83,8.58,987.0,0.0,25.02,
2018-03-01 19:00:00,2018-03-01 20:00:00,39.58,137.33,89.39,111.3,182.12,33.35,17.32,1.69,9.65,1.09,3.7,,42.83,0.68,298.58,3.0,987.0,0.0,21.89,
2018-03-01 20:00:00,2018-03-01 21:00:00,43.58,191.92,113.17,482.3,44.71,29.23,0.84,3.77,1.67,6.81,1.68,,52.67,0.38,277.25,3.17,987.25,0.0,20.73,
2018-03-01 21:00:00,2018-03-01 22:00:00,77.92,289.58,147.05,172.7,251.48,47.1,22.45,2.77,1.71,2.77,6.2,,61.5,0.36,170.67,3.75,987.58,0.0,20.78,
2018-03-01 22:00:00,2018-03-01 23:00:00,104.83,324.58,142.66,100.48,276.15,49.58,23.58,2.54,1.99,1.85,4.39,,72.92,0.45,249.42,3.17,987.08,0.0,19.97,
2018-03-01 23:00:00,2018-03-02 00:00:00,140.0,272.92,194.38,107.59,357.24,53.54,24.32,3.37,2.38,1.27,5.02,,79.08,0.27,188.92,3.58,987.75,0.0,19.23,
2018-03-02 00:00:00,2018-03-02 01:00:00,172.33,286.33,106.4,,67.07,28.76,0.95,5.43,3.17,6.22,1.49,,83.33,0.68,301.75,3.08,987.17,0.0,18.97,
2018-03-02 01:00:00,2018-03-02 02:00:00,208.92,347.58,92.99,,69.79,32.98,1.37,5.2,3.52,7.79,2.12,,81.58,0.89,314.92,3.0,987.0,0.0,19.36,
2018-03-02 02:00:00,2018-03-02 03:00:00,230.33,363.08,124.84,392.12,146.7,17.6,6.64,4.14,3.04,3.52,3.12,,83.0,0.86,314.67,3.0,987.0,0.0,19.07,
2018-03-02 03:00:00,2018-03-02 04:00:00,243.0,354.83,88.44,492.59,73.59,30.54,1.3,4.66,2.96,7.41,1.73,,87.17,0.81,314.75,3.0,987.0,0.0,18.41,
2018-03-02 04:00:00,2018-03-02 05:00:00,239.42,334.75,162.66,295.39,251.1,54.81,12.12,3.98,2.3,5.18,3.5,,86.17,0.88,302.42,3.0,986.25,0.0,18.15,
2018-03-02 05:00:00,2018-03-02 06:00:00,208.75,303.67,172.65,86.93,323.46,69.99,19.08,2.87,2.07,1.12,6.74,,83.17,0.51,269.92,3.0,987.0,0.0,17.78,
2018-03-02 06:00:00,2018-03-02 07:00:00,176.67,274.42,155.06,88.43,233.99,57.05,11.08,2.77,3.72,2.58,5.56,,86.42,0.44,119.42,4.5,987.0,0.0,17.25,
2018-03-02 07:00:00,2018-03-02 08:00:00,178.58,275.67,148.75,76.74,247.71,65.37,13.91,2.95,5.22,2.12,6.2,,83.75,0.41,133.58,43.67,987.08,0.0,18.01,
2018-03-02 08:00:00,2018-03-02 09:00:00,188.17,287.0,162.43,166.86,318.07,72.67,19.2,3.46,5.52,2.18,6.28,,69.5,0.46,278.58,150.75,988.0,0.0,21.54,
2018-03-02 09:00:00,2018-03-02 10:00:00,216.5,341.17,47.62,123.94,181.31,84.62,26.27,2.2,32.28,2.12,5.67,,50.58,0.85,269.0,274.42,988.58,0.0,25.15,
2018-03-02 10:00:00,2018-03-02 11:00:00,188.75,303.83,20.2,46.83,72.38,68.35,16.22,1.02,69.8,1.59,3.61,,43.0,3.18,295.42,401.17,989.0,0.0,26.96,
2018-03-02 11:00:00,2018-03-02 12:00:00,111.75,228.5,7.79,26.3,35.18,81.97,25.25,1.11,113.33,0.63,3.01,,43.17,2.57,291.92,389.75,989.0,0.0,27.6,
2018-03-02 12:00:00,2018-03-02 13:00:00,151.75,340.25,3.34,28.97,31.38,58.19,12.87,1.08,124.98,2.34,1.22,,41.5,1.56,272.42,466.5,988.33,0.0,28.62,
2018-03-02 13:00:00,2018-03-02 14:00:00,144.08,369.33,1.91,21.44,50.28,40.13,12.01,0.63,116.16,1.49,1.19,,31.58,1.76,271.58,458.08,987.0,0.0,30.18,
2018-03-02 14:00:00,2018-03-02 15:00:00,62.33,223.42,1.25,,57.29,16.05,0.75,0.54,114.0,1.78,0.1,,29.83,1.82,284.92,422.25,985.83,0.0,31.18,
2018-03-02 15:00:00,2018-03-02 16:00:00,52.25,166.92,1.6,,53.9,13.91,0.18,0.48,101.12,2.33,0.1,,27.75,3.53,310.08,316.75,985.0,0.0,31.2,
2018-03-02 16:00:00,2018-03-02 17:00:00,39.17,117.17,1.26,49.8,46.72,9.98,0.31,0.39,85.96,1.98,0.1,,29.08,3.74,303.42,183.83,985.0,0.0,30.63,
2018-03-02 17:00:00,2018-03-02 18:00:00,40.75,111.17,1.44,32.02,42.02,23.73,2.19,0.54,72.13,1.52,0.28,,33.0,2.94,301.92,58.42,985.0,0.0,29.27,
2018-03-02 18:00:00,2018-03-02 19:00:00,45.58,112.83,1.34,53.18,50.82,49.65,20.83,0.94,37.57,0.2,1.98,,43.33,1.4,302.83,7.75,985.0,0.0,26.48,
2018-03-02 19:00:00,2018-03-02 20:00:00,59.75,152.42,4.45,99.9,98.2,52.4,7.88,1.37,7.19,1.91,1.13,,53.08,0.87,311.58,3.0,985.42,0.0,23.78,
2018-03-02 20:00:00,2018-03-02 21:00:00,69.25,171.58,43.23,111.93,163.88,54.9,17.01,1.99,1.53,1.13,2.62,,63.17,0.61,300.67,3.0,986.0,0.0,21.85,
2018-03-02 21:00:00,2018-03-02 22:00:00,90.17,225.25,75.48,104.97,203.05,52.96,21.74,2.29,1.73,1.21,3.57,,70.25,0.66,254.75,3.17,986.33,0.0,20.89,
2018-03-02 22:00:00,2018-03-02 23:00:00,93.83,224.5,125.27,99.72,268.03,52.47,22.51,2.92,2.18,1.53,4.38,,73.33,0.68,272.92,3.25,986.75,0.0,20.6,
2018-03-02 23:00:00,2018-03-03 00:00:00,111.42,244.17,111.18,93.94,243.18,59.53,20.33,2.78,2.14,0.87,5.5,,73.08,0.94,304.42,3.0,986.25,0.0,20.83,
2018-03-03 00:00:00,2018-03-03 01:00:00,134.08,240.5,82.93,86.28,196.34,62.76,21.23,2.53,1.78,0.97,5.65,,79.08,0.54,303.58,3.0,986.0,0.0,19.91,
2018-03-03 01:00:00,2018-03-03 02:00:00,142.42,218.92,79.82,137.35,125.23,45.21,11.67,2.43,42.49,3.54,3.66,,82.5,0.73,292.42,3.08,985.83,0.0,19.26,
2018-03-03 02:00:00,2018-03-03 03:00:00,145.75,225.25,69.56,67.36,159.68,30.56,10.23,1.96,1.53,1.23,6.1,,83.08,0.83,277.17,3.0,985.0,0.0,19.08,
2018-03-03 03:00:00,2018-03-03 04:00:00,135.0,203.08,67.81,76.02,149.83,63.71,16.62,2.04,1.63,1.58,5.75,,84.83,0.82,283.83,3.0,985.0,0.0,18.73,
2018-03-03 04:00:00,2018-03-03 05:00:00,125.75,191.83,21.51,70.83,87.17,61.3,13.24,1.43,2.22,2.37,3.86,,79.67,0.97,303.0,3.0,985.0,0.0,19.15,
2018-03-03 05:00:00,2018-03-03 06:00:00,109.42,160.75,27.08,63.78,96.87,79.63,21.78,1.23,2.04,0.67,4.5,,79.5,1.29,291.58,3.0,985.0,0.0,19.31,
2018-03-03 06:00:00,2018-03-03 07:00:00,173.08,241.42,24.4,61.98,91.43,53.26,11.33,1.29,1.86,2.23,1.29,,81.5,1.12,299.75,4.25,985.08,0.0,18.9,
2018-03-03 07:00:00,2018-03-03 08:00:00,257.83,335.17,47.82,66.74,128.88,38.84,0.53,1.45,2.5,3.0,0.2,,79.17,1.29,298.58,43.58,985.92,0.0,19.39,
2018-03-03 08:00:00,2018-03-03 09:00:00,276.0,375.08,43.77,78.98,134.27,66.86,22.09,1.35,9.18,1.82,1.76,,69.08,1.5,279.75,153.33,986.42,0.0,21.63,
2018-03-03 09:00:00,2018-03-03 10:00:00,210.08,305.58,16.9,60.15,79.19,85.17,61.69,1.13,28.65,0.44,2.91,,54.17,1.33,276.75,255.17,987.0,0.0,24.69,
2018-03-03 10:00:00,2018-03-03 11:00:00,171.92,273.33,18.18,66.88,72.12,77.33,52.88,1.03,47.54,0.88,2.47,,43.0,1.25,273.92,274.0,987.0,0.0,27.08,
2018-03-03 11:00:00,2018-03-03 12:00:00,143.33,251.75,8.53,40.12,48.97,65.64,52.1,0.72,68.71,0.29,2.72,,29.83,1.31,261.75,411.92,986.25,0.0,29.78,
2018-03-03 12:00:00,2018-03-03 13:00:00,65.83,155.58,6.37,46.12,51.41,57.33,37.67,0.69,71.82,0.2,2.68,,25.58,1.48,270.92,442.5,985.67,0.0,31.12,
2018-03-03 13:00:00,2018-03-03 14:00:00,60.83,149.75,4.32,30.47,34.12,47.14,13.92,0.57,84.55,0.14,2.64,,22.08,1.99,217.92,447.58,984.58,0.0,32.77,
2018-03-03 14:00:00,2018-03-03 15:00:00,41.75,129.83,5.11,27.33,30.18,39.5,11.74,0.53,109.86,0.5,2.07,,22.92,1.52,256.42,399.08,983.5,0.0,32.71,
2018-03-03 15:00:00,2018-03-03 16:00:00,43.67,142.67,2.02,22.54,23.6,41.64,16.74,0.48,95.93,0.12,2.38,,23.75,2.53,292.67,274.42,983.0,0.0,31.92,
2018-03-03 16:00:00,2018-03-03 17:00:00,35.75,138.5,3.3,23.28,36.45,13.82,0.27,0.46,84.88,1.95,0.1,,25.0,1.85,301.92,167.25,982.5,0.0,31.58,
2018-03-03 17:00:00,2018-03-03 18:00:00,41.42,134.33,1.77,39.38,40.4,36.81,17.49,0.73,65.75,0.33,2.32,,33.33,1.12,302.75,43.83,982.83,0.0,29.67,
2018-03-03 18:00:00,2018-03-03 19:00:00,47.5,189.0,1.83,52.2,50.68,44.47,28.04,0.98,32.97,0.28,2.75,,50.0,1.17,56.83,12.92,983.0,0.0,27.22,
2018-03-03 19:00:00,2018-03-03 20:00:00,64.5,200.42,1.18,50.63,48.31,49.38,34.6,1.06,37.1,0.49,2.72,,50.67,0.67,78.83,3.83,983.33,0.0,25.65,
2018-03-03 20:00:00,2018-03-03 21:00:00,77.0,174.42,5.06,79.37,75.52,44.57,23.1,1.31,8.95,1.08,2.31,,53.67,0.38,106.17,3.83,984.0,0.0,23.64,
2018-03-03 21:00:00,2018-03-03 22:00:00,78.92,183.0,40.52,89.62,139.7,45.02,28.12,1.62,2.25,0.59,3.41,,56.83,0.4,161.09,3.75,984.0,0.0,22.52,
2018-03-03 22:00:00,2018-03-03 23:00:00,80.83,182.17,145.35,98.0,295.13,51.91,23.74,2.5,3.32,1.28,3.24,,60.5,0.93,294.17,3.0,984.0,0.0,21.94,
2018-03-03 23:00:00,2018-03-04 00:00:00,107.58,244.33,222.08,96.89,402.36,53.85,23.99,3.4,2.79,1.53,6.12,,67.92,0.71,301.58,3.0,984.0,0.0,21.13,
2018-03-04 00:00:00,2018-03-04 01:00:00,132.92,279.09,167.5,88.31,317.42,58.8,30.9,2.99,2.29,1.19,7.17,,64.58,1.28,304.83,3.0,984.0,0.0,21.57,
2018-03-04 01:00:00,2018-03-04 02:00:00,148.75,294.83,68.04,150.51,96.46,48.03,16.12,2.1,57.01,4.77,3.69,,69.08,1.8,300.0,3.0,984.0,0.0,20.89,
2018-03-04 02:00:00,2018-03-04 03:00:00,157.33,283.17,13.7,51.2,69.32,27.46,12.3,1.06,4.62,0.87,3.76,,77.42,1.35,294.33,3.0,984.0,0.0,20.16,
2018-03-04 03:00:00,2018-03-04 04:00:00,146.08,227.92,16.22,49.7,51.86,47.63,20.15,1.03,8.21,0.68,2.96,,76.42,1.2,296.58,3.0,984.0,0.0,19.72,
2018-03-04 04:00:00,2018-03-04 05:00:00,105.58,165.25,9.58,32.86,42.06,49.73,21.2,0.72,15.12,0.51,2.68,,69.75,1.01,310.75,3.0,984.0,0.0,19.53,
2018-03-04 05:00:00,2018-03-04 06:00:00,67.17,115.08,6.65,36.35,42.79,55.5,16.91,0.7,8.83,0.96,2.23,,73.83,0.65,287.42,3.17,984.67,0.0,18.81,
2018-03-04 06:00:00,2018-03-04 07:00:00,59.42,101.83,9.98,38.89,49.87,56.08,24.53,0.78,3.49,0.3,2.62,,79.08,0.44,164.83,5.0,985.0,0.0,18.12,
2018-03-04 07:00:00,2018-03-04 08:00:00,76.42,131.25,53.61,44.34,116.42,56.19,24.52,0.99,2.19,0.38,2.72,,74.92,0.78,266.75,49.0,986.0,0.0,18.97,
2018-03-04 08:00:00,2018-03-04 09:00:00,89.0,154.17,36.77,55.23,95.28,59.13,30.2,1.02,10.12,0.67,2.65,,57.17,0.95,127.58,168.75,986.42,0.0,22.39,
2018-03-04 09:00:00,2018-03-04 10:00:00,94.58,169.75,19.07,51.05,73.82,61.81,40.66,0.97,32.61,0.45,3.02,,44.25,1.38,118.5,300.0,987.0,0.0,25.44,
2018-03-04 10:00:00,2018-03-04 11:00:00,88.58,169.17,13.95,44.17,56.86,58.8,27.46,0.74,47.57,0.55,2.65,,33.08,1.61,123.83,400.92,987.0,0.0,28.22,
2018-03-04 11:00:00,2018-03-04 12:00:00,84.33,157.08,6.03,29.41,45.73,48.49,18.16,0.62,81.98,1.12,1.89,,28.0,1.01,199.5,412.08,987.0,0.0,30.19,
2018-03-04 12:00:00,2018-03-04 13:00:00,53.75,130.33,3.77,39.91,42.05,65.67,25.09,0.94,101.96,0.23,2.9,,37.75,3.74,303.5,430.25,987.0,0.0,28.72,
2018-03-04 13:00:00,2018-03-04 14:00:00,106.0,246.25,2.2,28.97,29.76,65.38,27.36,0.7,119.23,0.35,3.1,,33.42,3.49,303.08,362.33,986.42,0.0,29.12,
2018-03-04 14:00:00,2018-03-04 15:00:00,75.25,180.92,2.12,20.66,49.08,21.91,2.07,0.53,79.87,2.19,0.34,,35.5,4.22,302.0,194.25,986.17,0.0,27.12,
2018-03-04 15:00:00,2018-03-04 16:00:00,54.58,193.25,2.35,20.77,41.47,23.49,4.12,0.5,81.04,1.52,0.59,,33.08,3.11,293.58,197.33,985.08,0.0,27.47,
2018-03-04 16:00:00,2018-03-04 17:00:00,45.67,125.33,3.69,22.26,40.77,17.71,0.15,0.42,70.15,2.23,0.18,,34.5,3.32,291.67,96.92,986.0,0.0,26.58,
2018-03-04 17:00:00,2018-03-04 18:00:00,30.33,97.0,2.39,40.43,40.58,43.77,16.23,0.58,52.18,0.1,1.86,,33.25,2.16,258.83,38.0,986.0,0.0,26.03,
2018-03-04 18:00:00,2018-03-04 19:00:00,32.67,104.17,12.73,71.03,70.3,38.1,16.6,0.65,20.63,0.42,1.64,,36.42,1.47,268.75,12.83,986.0,0.0,25.35,
2018-03-04 19:00:00,2018-03-04 20:00:00,45.83,155.42,22.52,94.22,118.43,40.63,20.54,1.05,2.56,0.23,2.47,,43.92,1.67,303.67,3.0,986.08,0.0,23.61,
2018-03-04 20:00:00,2018-03-04 21:00:00,45.17,150.83,71.29,99.67,169.41,39.99,18.61,1.49,7.93,0.57,3.02,,51.58,1.39,307.33,3.0,987.0,0.0,22.1,
2018-03-04 21:00:00,2018-03-04 22:00:00,55.08,165.58,106.68,90.93,234.15,43.21,19.92,1.91,0.92,0.76,3.46,,58.67,1.03,300.25,3.0,987.75,0.0,20.71,
2018-03-04 22:00:00,2018-03-04 23:00:00,67.0,177.08,93.88,89.88,215.11,48.55,20.33,1.96,1.71,1.63,3.91,,60.92,1.17,303.42,3.0,988.0,0.0,20.57,
2018-03-04 23:00:00,2018-03-05 00:00:00,110.17,225.67,88.12,83.35,200.96,56.88,30.18,1.94,1.18,0.7,4.93,,65.58,0.83,296.17,3.08,988.0,0.0,20.02,
2018-03-05 00:00:00,2018-03-05 01:00:00,137.83,236.36,63.06,77.85,160.55,56.58,23.67,1.62,2.22,0.93,4.28,,75.25,0.68,285.17,3.0,988.0,0.0,18.77,
2018-03-05 01:00:00,2018-03-05 02:00:00,120.75,200.33,42.71,79.21,68.85,33.58,8.51,1.08,10.82,2.53,1.94,,78.5,0.29,198.67,3.5,988.0,0.0,18.51,
2018-03-05 02:00:00,2018-03-05 03:00:00,82.33,138.33,84.04,70.68,181.44,22.59,8.17,1.18,1.18,0.36,3.56,,83.5,0.53,237.92,3.42,988.0,0.0,17.73,
2018-03-05 03:00:00,2018-03-05 04:00:00,84.5,144.0,65.28,68.76,155.37,50.85,16.01,1.39,3.7,0.41,4.27,,81.0,0.72,250.33,3.17,988.0,0.0,18.27,
2018-03-05 04:00:00,2018-03-05 05:00:00,89.58,159.67,70.96,59.46,154.81,53.01,14.47,1.27,3.42,1.08,3.67,,87.25,0.99,313.5,3.0,988.08,0.0,17.21,
2018-03-05 05:00:00,2018-03-05 06:00:00,103.75,185.75,81.89,55.12,166.23,56.69,17.07,1.14,2.3,0.45,4.1,,89.42,1.15,319.0,3.0,988.92,0.0,16.72,
2018-03-05 06:00:00,2018-03-05 07:00:00,106.83,183.42,106.15,51.38,197.01,60.84,17.47,1.21,1.58,0.46,3.77,,88.75,1.09,309.92,4.5,989.25,0.0,16.67,
2018-03-05 07:00:00,2018-03-05 08:00:00,122.58,189.42,102.02,54.48,193.98,70.53,19.7,1.3,2.07,0.49,3.58,,84.5,1.37,295.75,52.25,990.08,0.0,17.48,
2018-03-05 08:00:00,2018-03-05 09:00:00,170.75,260.58,46.03,60.38,120.5,74.34,27.42,1.11,7.89,0.72,3.13,,72.83,2.04,282.08,182.25,991.0,0.0,19.86,
2018-03-05 09:00:00,2018-03-05 10:00:00,159.42,251.42,27.62,62.84,96.76,73.02,46.85,1.05,24.42,0.35,2.88,,60.83,1.8,297.17,305.67,991.83,0.0,22.48,
2018-03-05 10:00:00,2018-03-05 11:00:00,142.42,233.5,18.26,37.56,54.81,62.01,50.28,0.62,52.75,0.88,2.1,,48.0,2.06,302.25,434.08,992.0,0.0,24.5,
2018-03-05 11:00:00,2018-03-05 12:00:00,89.67,152.25,5.77,31.21,36.84,65.54,39.73,0.7,94.1,0.29,2.63,,40.25,2.42,281.75,422.58,991.83,0.0,25.87,
2018-03-05 12:00:00,2018-03-05 13:00:00,74.92,140.42,3.07,25.05,27.33,58.44,24.4,0.58,110.17,0.23,2.84,,33.5,2.72,290.83,522.08,991.0,0.0,26.97,
2018-03-05 13:00:00,2018-03-05 14:00:00,49.25,112.5,1.5,20.57,43.12,22.64,3.46,0.44,106.56,2.07,0.53,,26.67,3.26,309.25,435.17,990.08,0.0,27.4,
2018-03-05 14:00:00,2018-03-05 15:00:00,29.58,77.0,1.78,,39.82,15.17,0.13,0.38,100.22,2.11,0.1,,23.92,3.85,296.58,472.92,989.58,0.0,27.88,
2018-03-05 15:00:00,2018-03-05 16:00:00,23.42,79.5,1.73,,37.2,14.72,0.1,0.33,102.11,1.78,0.1,,23.75,4.47,301.25,363.33,989.0,0.0,27.79,
2018-03-05 16:00:00,2018-03-05 17:00:00,22.08,95.58,3.31,20.1,31.67,11.35,0.22,0.32,88.93,1.49,0.1,,26.25,4.36,296.17,221.5,989.0,0.0,27.17,
2018-03-05 17:00:00,2018-03-05 18:00:00,22.92,88.75,1.96,22.38,25.0,26.9,9.67,0.45,85.0,0.46,1.17,,31.33,4.09,302.58,51.0,989.0,0.0,26.15,
2018-03-05 18:00:00,2018-03-05 19:00:00,22.09,78.91,1.95,50.85,49.56,31.95,13.32,0.62,51.16,0.1,1.74,,37.58,3.04,297.09,9.64,989.0,0.0,24.35,
2018-03-05 19:00:00,2018-03-05 20:00:00,28.0,85.0,15.17,101.18,114.5,37.46,16.65,1.08,5.87,0.24,2.4,,45.0,1.63,298.58,3.0,989.67,0.0,22.82,
2018-03-05 20:00:00,2018-03-05 21:00:00,41.0,118.0,59.57,108.03,163.26,38.62,18.77,1.58,3.59,0.67,3.49,,52.33,1.21,298.5,3.0,990.75,0.0,21.11,
2018-03-05 21:00:00,2018-03-05 22:00:00,66.0,171.0,146.68,108.44,306.65,44.21,22.73,2.3,1.37,0.97,4.73,,57.83,1.29,306.42,3.0,991.0,0.0,20.17,
2018-03-05 22:00:00,2018-03-05 23:00:00,91.0,211.0,100.65,105.74,238.98,47.64,23.53,2.12,1.32,1.68,5.5,,61.25,1.38,304.58,3.0,991.67,0.0,19.74,
2018-03-05 23:00:00,2018-03-06 00:00:00,108.0,213.0,39.18,93.63,141.39,53.28,25.73,1.42,1.65,0.6,5.05,,63.33,1.14,287.17,3.0,991.67,0.0,19.3,
2018-03-06 00:00:00,2018-03-06 01:00:00,113.0,175.0,21.02,84.07,107.02,48.99,21.85,1.09,2.39,0.43,3.47,,67.42,1.02,279.17,3.0,991.0,0.0,18.6,
2018-03-06 01:00:00,2018-03-06 02:00:00,96.0,157.0,14.47,74.32,77.52,48.24,17.77,0.9,7.7,0.53,2.73,,74.67,0.82,282.42,3.0,990.67,0.0,17.44,
2018-03-06 02:00:00,2018-03-06 03:00:00,90.0,140.0,5.02,47.38,28.17,22.62,7.44,0.41,18.46,0.35,2.94,,73.58,1.25,295.83,3.0,990.0,0.0,17.8,
2018-03-06 03:00:00,2018-03-06 04:00:00,84.0,124.0,6.38,62.17,63.68,45.68,14.89,0.8,12.43,0.66,2.54,,74.75,1.27,274.83,3.0,989.83,0.0,17.64,
2018-03-06 04:00:00,2018-03-06 05:00:00,91.0,141.0,20.09,72.05,93.58,55.16,14.9,0.88,6.61,0.77,1.88,,75.17,1.39,278.42,3.0,989.0,0.0,17.48,
2018-03-06 05:00:00,2018-03-06 06:00:00,134.0,193.0,33.66,77.57,118.82,77.96,37.0,1.04,1.78,0.31,2.35,,77.5,1.81,278.92,3.0,990.0,0.0,16.94,
2018-03-06 06:00:00,2018-03-06 07:00:00,199.0,271.0,10.21,58.62,68.41,79.63,42.63,0.92,8.29,0.38,2.1,,79.0,2.32,275.67,4.67,990.67,0.0,16.56,
2018-03-06 07:00:00,2018-03-06 08:00:00,177.0,226.0,26.38,59.57,92.03,68.92,34.52,1.0,4.81,0.3,1.88,,78.25,2.42,272.08,49.5,991.25,0.0,16.57,
2018-03-06 08:00:00,2018-03-06 09:00:00,172.0,232.0,29.61,58.72,89.69,71.14,35.89,1.11,14.16,0.48,1.76,,71.5,2.8,272.83,163.42,992.0,0.0,18.27,
2018-03-06 09:00:00,2018-03-06 10:00:00,199.0,285.0,15.98,52.22,70.7,66.22,33.98,1.11,38.52,0.65,1.62,,59.42,3.0,272.08,298.83,992.25,0.0,21.33,
2018-03-06 10:00:00,2018-03-06 11:00:00,147.0,259.0,8.59,30.62,39.38,52.05,25.82,0.78,69.67,0.41,1.67,,49.17,4.42,284.08,433.25,993.0,0.0,23.76,
2018-03-06 11:00:00,2018-03-06 12:00:00,95.0,197.0,4.96,23.97,28.6,49.39,29.67,0.63,92.77,0.33,1.66,,40.92,5.32,291.17,426.17,992.25,0.0,25.28,
2018-03-06 12:00:00,2018-03-06 13:00:00,67.0,191.0,2.58,23.15,24.94,46.3,28.52,0.57,104.9,0.2,2.07,,34.75,4.62,293.33,558.17,991.42,0.0,26.71,
2018-03-06 13:00:00,2018-03-06 14:00:00,55.0,162.0,2.3,21.5,34.16,26.77,7.19,0.47,101.73,1.26,0.75,,31.42,4.62,302.17,502.17,990.67,0.0,27.37,
2018-03-06 14:00:00,2018-03-06 15:00:00,44.0,151.0,2.34,20.22,35.22,15.88,0.12,0.4,94.93,1.51,0.09,,28.83,4.85,299.25,480.25,990.0,0.0,27.69,
2018-03-06 15:00:00,2018-03-06 16:00:00,45.0,130.0,1.88,,32.84,13.76,0.1,0.37,92.13,1.49,0.09,,27.33,4.63,305.25,335.0,989.33,0.0,27.47,
2018-03-06 16:00:00,2018-03-06 17:00:00,30.0,101.0,3.54,22.3,27.41,9.98,0.32,0.37,83.92,1.19,0.08,,30.0,4.09,310.08,214.67,989.0,0.0,27.08,
2018-03-06 17:00:00,2018-03-06 18:00:00,30.0,83.0,1.99,30.57,31.82,27.77,11.17,0.55,80.63,0.53,1.28,,34.33,3.39,301.0,44.17,989.0,0.0,25.86,
