From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3)
2015-10-01 00:00:00,2015-10-01 01:00:00,,9.06,22.92,31.98,4.92,2.32,25.92,0.25,0.35,30.07,82.23,0.07,91.56,84.05,749.75,-0.01,,0.0,0.18
2015-10-01 01:00:00,2015-10-01 02:00:00,,5.66,20.24,25.21,4.32,2.01,24.59,0.23,0.34,29.84,83.8,0.01,93.15,84.05,749.75,-0.01,,0.0,0.16
2015-10-01 02:00:00,2015-10-01 03:00:00,,9.92,19.92,29.83,4.46,2.01,25.03,0.22,0.32,29.47,86.14,0.01,91.24,83.99,749.74,-0.01,,0.0,0.14
2015-10-01 03:00:00,2015-10-01 04:00:00,,10.77,21.38,32.14,4.41,2.09,25.11,0.21,0.31,29.33,86.78,1.41,90.59,83.97,749.75,-0.01,,0.0,0.13
2015-10-01 04:00:00,2015-10-01 05:00:00,,7.2,21.91,28.43,5.29,2.28,28.82,0.21,0.3,29.28,86.02,0.01,89.43,84.1,749.75,-0.01,,0.0,0.13
2015-10-01 05:00:00,2015-10-01 06:00:00,,12.95,24.05,37.01,7.13,2.47,29.67,0.2,0.26,29.1,86.81,0.01,85.73,84.1,749.76,-0.01,,0.0,0.11
2015-10-01 06:00:00,2015-10-01 07:00:00,,15.93,21.3,37.22,7.45,2.51,16.72,0.21,0.26,29.8,84.18,0.01,88.73,118.78,749.76,-0.01,,0.0,0.11
2015-10-01 07:00:00,2015-10-01 08:00:00,,6.1,25.5,30.18,7.91,1.14,22.93,0.26,0.32,32.16,72.67,0.56,99.95,240.49,749.77,-0.01,,0.0,0.15
2015-10-01 08:00:00,2015-10-01 09:00:00,,4.36,21.93,22.26,4.76,1.1,23.04,0.24,0.31,33.34,66.44,0.91,107.15,377.35,749.78,-0.01,,0.0,0.14
2015-10-01 09:00:00,2015-10-01 10:00:00,,0.41,22.05,18.13,2.09,1.13,21.24,0.18,0.23,34.47,61.49,1.2,117.19,529.6,749.78,-0.01,,0.0,0.08
2015-10-01 10:00:00,2015-10-01 11:00:00,,2.38,21.75,19.05,1.95,0.62,35.65,0.13,0.2,34.81,60.39,1.77,117.03,593.44,749.78,-0.01,,0.0,0.07
2015-10-01 11:00:00,2015-10-01 12:00:00,,3.04,19.01,18.47,2.55,1.86,70.12,0.16,0.34,34.54,61.02,2.17,112.67,536.33,749.77,-0.02,,0.0,0.11
2015-10-01 12:00:00,2015-10-01 13:00:00,,1.51,17.89,17.76,6.97,1.26,21.91,0.19,0.31,34.47,61.14,1.81,104.41,388.13,749.76,-0.02,,0.0,0.11
2015-10-01 13:00:00,2015-10-01 14:00:00,,11.05,10.83,20.92,6.22,0.67,28.24,0.25,0.34,35.07,60.09,1.92,104.2,435.59,749.76,-0.03,,0.0,0.15
2015-10-01 14:00:00,2015-10-01 15:00:00,,200.67,,218.01,,26.64,22.34,0.27,0.34,35.47,57.68,1.89,111.08,433.77,749.75,-0.02,,0.0,0.14
2015-10-01 15:00:00,2015-10-01 16:00:00,,13.49,10.42,23.92,5.1,0.66,13.1,0.22,0.36,35.27,59.8,2.28,114.34,332.81,749.74,-0.02,,0.0,0.14
2015-10-01 16:00:00,2015-10-01 17:00:00,,9.84,11.6,21.43,2.81,1.11,32.6,0.2,0.38,34.52,62.92,2.12,109.15,162.37,749.74,-0.01,,0.0,0.15
2015-10-01 17:00:00,2015-10-01 18:00:00,,13.8,11.31,25.11,3.5,1.96,22.55,0.21,0.38,33.48,66.66,1.31,106.67,87.17,749.73,-0.01,,0.0,0.19
2015-10-01 18:00:00,2015-10-01 19:00:00,,17.1,21.73,38.83,3.41,2.67,19.06,0.21,0.42,32.81,70.53,0.62,106.09,84.14,749.74,-0.01,,0.0,0.22
2015-10-01 19:00:00,2015-10-01 20:00:00,,21.9,20.1,41.99,2.73,2.31,22.88,0.24,0.69,32.15,74.7,0.09,102.71,84.14,749.74,-0.01,,0.0,0.46
2015-10-01 20:00:00,2015-10-01 21:00:00,,26.8,19.85,46.66,5.7,0.99,23.37,0.26,0.73,31.79,75.28,0.11,99.89,84.23,749.75,-0.01,,0.0,0.52
2015-10-01 21:00:00,2015-10-01 22:00:00,,24.66,18.1,42.75,6.11,0.84,23.09,0.26,0.7,31.31,77.64,0.42,97.44,84.21,749.76,-0.01,,0.0,0.52
2015-10-01 22:00:00,2015-10-01 23:00:00,,17.98,15.85,33.82,6.99,0.66,23.08,0.26,0.56,31.18,79.54,0.8,96.78,84.19,749.76,-0.01,,0.0,0.38
2015-10-01 23:00:00,2015-10-02 00:00:00,,12.12,14.92,27.03,5.94,0.72,21.83,0.24,0.4,30.97,79.12,0.35,95.54,84.16,749.75,-0.01,,0.0,0.23
2015-10-02 00:00:00,2015-10-02 01:00:00,,12.76,13.6,26.36,4.55,0.86,21.92,0.21,0.32,30.66,79.98,0.11,94.14,84.14,749.75,-0.01,,0.0,0.14
2015-10-02 01:00:00,2015-10-02 02:00:00,,13.59,11.6,25.19,3.68,1.01,21.41,0.2,0.26,30.27,81.74,0.04,91.76,84.19,749.75,-0.01,,0.0,0.11
2015-10-02 02:00:00,2015-10-02 03:00:00,,10.82,12.02,22.81,3.53,0.87,21.84,0.19,0.24,30.12,82.41,0.07,91.42,84.3,749.75,-0.01,,0.0,0.09
2015-10-02 03:00:00,2015-10-02 04:00:00,,15.86,15.2,31.12,4.41,1.0,21.42,0.19,0.23,30.13,81.23,1.43,90.35,84.21,749.75,-0.01,,0.0,0.08
2015-10-02 04:00:00,2015-10-02 05:00:00,,16.35,14.77,31.12,2.31,0.44,20.24,0.21,0.24,29.95,83.06,0.13,92.32,84.29,749.75,-0.01,,0.0,0.09
2015-10-02 05:00:00,2015-10-02 06:00:00,,24.65,13.46,38.1,0.69,0.28,22.96,0.2,0.26,29.63,85.88,0.81,91.13,84.26,749.76,-0.01,,0.0,0.09
2015-10-02 06:00:00,2015-10-02 07:00:00,,19.62,14.13,33.75,1.67,0.63,16.03,0.21,0.27,29.69,84.5,0.86,90.65,112.61,749.76,-0.01,,0.0,0.11
2015-10-02 07:00:00,2015-10-02 08:00:00,,24.45,17.0,41.45,0.86,0.26,20.56,0.19,0.25,31.02,78.63,1.17,98.21,207.78,749.77,-0.01,,0.0,0.1
2015-10-02 08:00:00,2015-10-02 09:00:00,,9.81,14.38,24.2,4.08,1.25,22.35,0.19,0.23,32.31,73.93,1.57,103.08,354.96,749.77,-0.01,,0.0,0.09
2015-10-02 09:00:00,2015-10-02 10:00:00,,7.42,10.53,17.94,4.95,1.38,20.78,0.17,0.18,33.82,67.2,1.69,110.32,528.51,749.77,-0.01,,0.0,0.05
2015-10-02 10:00:00,2015-10-02 11:00:00,,9.55,10.86,20.41,3.98,1.36,19.31,0.14,0.16,34.79,62.21,2.11,115.62,615.94,749.77,-0.02,,0.0,0.04
2015-10-02 11:00:00,2015-10-02 12:00:00,,101.75,9.27,104.47,108.25,11.96,40.66,0.12,0.21,34.95,61.99,2.67,113.97,662.56,749.76,-0.03,,0.0,0.06
2015-10-02 12:00:00,2015-10-02 13:00:00,,9.46,14.5,23.96,2.51,1.51,22.89,0.16,0.28,35.1,61.28,3.28,116.84,611.81,749.75,-0.05,,0.0,0.09
2015-10-02 13:00:00,2015-10-02 14:00:00,,7.85,12.31,20.13,1.62,1.44,20.43,0.13,0.31,35.26,59.89,3.62,120.72,633.88,749.74,-0.06,35.38,0.0,0.09
2015-10-02 14:00:00,2015-10-02 15:00:00,,10.58,14.03,21.93,1.31,2.3,27.24,0.14,0.36,35.25,58.89,3.8,115.16,484.27,749.73,-0.05,,0.0,0.11
2015-10-02 15:00:00,2015-10-02 16:00:00,,9.96,16.95,26.92,3.49,3.23,25.94,0.17,0.32,35.13,58.36,3.78,112.73,353.1,749.72,-0.06,,,0.09
2015-10-02 16:00:00,2015-10-02 17:00:00,,10.21,15.65,25.88,3.37,1.92,21.5,0.18,0.33,34.52,60.98,2.67,110.7,170.99,749.72,-0.03,,0.0,0.1
2015-10-02 17:00:00,2015-10-02 18:00:00,,9.05,15.78,24.82,2.54,1.68,18.48,0.16,0.3,33.27,64.59,1.98,105.62,87.24,749.71,-0.02,,0.0,0.1
2015-10-02 18:00:00,2015-10-02 19:00:00,,9.79,21.39,31.18,3.08,1.74,22.01,0.16,0.29,32.38,68.37,0.88,101.96,84.37,749.72,-0.01,,0.0,0.11
2015-10-02 19:00:00,2015-10-02 20:00:00,,11.93,25.66,37.59,2.07,1.66,21.42,0.2,0.46,31.93,69.96,1.04,103.01,84.35,749.72,-0.01,,0.0,0.25
2015-10-02 20:00:00,2015-10-02 21:00:00,,12.94,21.5,34.44,5.21,0.62,23.18,0.2,0.46,31.22,75.33,0.38,98.5,84.38,749.73,-0.01,,0.0,0.25
2015-10-02 21:00:00,2015-10-02 22:00:00,,10.38,20.47,30.85,6.75,0.61,23.92,0.23,0.45,30.79,78.22,0.5,96.02,84.4,749.73,-0.01,,0.0,0.24
2015-10-02 22:00:00,2015-10-02 23:00:00,,11.0,19.82,30.82,7.86,0.53,26.22,0.24,0.4,30.36,80.4,1.2,93.39,84.38,749.74,-0.01,,0.0,0.2
2015-10-02 23:00:00,2015-10-03 00:00:00,,10.96,20.24,31.0,7.51,0.8,27.02,0.25,0.32,30.2,79.21,0.97,90.52,84.37,749.73,-0.01,,,0.14
2015-10-03 00:00:00,2015-10-03 01:00:00,,13.39,17.28,30.66,6.61,0.54,25.39,0.23,0.26,29.82,82.29,0.86,88.74,84.37,749.73,-0.01,,0.0,0.1
2015-10-03 01:00:00,2015-10-03 02:00:00,,12.2,17.43,28.44,5.42,0.63,27.91,0.21,0.21,29.63,84.56,1.47,87.82,84.38,749.73,-0.01,,0.0,0.07
2015-10-03 02:00:00,2015-10-03 03:00:00,,10.27,17.33,27.61,6.18,0.61,23.95,0.2,0.18,29.54,84.74,1.09,87.57,84.43,749.72,-0.01,,0.0,0.06
2015-10-03 03:00:00,2015-10-03 04:00:00,,12.14,15.99,28.13,5.24,0.48,23.06,0.17,0.16,29.46,84.47,0.84,88.92,84.45,749.72,-0.01,,0.0,0.04
2015-10-03 04:00:00,2015-10-03 05:00:00,,11.01,17.24,28.25,4.08,1.57,24.14,0.16,0.16,29.31,85.26,0.62,88.45,84.46,749.72,-0.01,,0.0,0.05
2015-10-03 05:00:00,2015-10-03 06:00:00,,15.63,18.9,34.53,4.09,1.62,24.11,0.16,0.17,29.22,84.55,0.86,88.11,84.44,749.73,-0.01,,0.0,0.06
2015-10-03 06:00:00,2015-10-03 07:00:00,,17.75,18.41,36.15,5.27,1.54,17.49,0.17,0.22,29.43,85.4,0.57,88.76,111.06,749.73,-0.01,,0.0,0.08
2015-10-03 07:00:00,2015-10-03 08:00:00,,15.97,18.41,32.82,5.52,1.79,24.13,0.2,0.23,30.71,79.75,1.45,93.08,225.84,749.74,-0.01,,0.0,0.09
2015-10-03 08:00:00,2015-10-03 09:00:00,,9.84,16.42,25.35,3.62,0.9,24.02,0.2,0.21,31.99,75.02,2.28,99.6,385.6,749.75,-0.01,,0.0,0.08
2015-10-03 09:00:00,2015-10-03 10:00:00,,8.76,17.31,26.06,2.92,0.57,23.12,0.18,0.19,33.45,68.4,2.28,107.1,538.43,749.75,-0.01,,0.0,0.07
2015-10-03 10:00:00,2015-10-03 11:00:00,,8.76,15.3,24.07,3.32,1.25,22.33,0.16,0.19,34.38,63.0,2.63,112.12,646.19,749.75,-0.02,,0.0,0.06
2015-10-03 11:00:00,2015-10-03 12:00:00,,140.46,10.32,116.16,137.77,6.95,20.28,0.14,0.22,35.1,58.89,4.2,117.43,692.51,749.74,-0.03,,0.0,0.07
2015-10-03 12:00:00,2015-10-03 13:00:00,,10.42,14.49,24.9,3.29,1.74,26.0,0.13,0.3,35.56,56.5,3.04,118.71,684.12,749.73,-0.03,,0.0,0.1
2015-10-03 13:00:00,2015-10-03 14:00:00,,9.65,15.92,24.39,4.9,3.01,31.89,0.16,0.32,36.0,54.06,3.01,117.94,606.26,749.72,-0.04,,0.0,0.13
2015-10-03 14:00:00,2015-10-03 15:00:00,,10.26,13.01,23.28,3.83,2.97,20.07,0.16,0.39,35.7,54.98,2.95,120.88,439.61,749.71,-0.03,,0.0,0.15
2015-10-03 15:00:00,2015-10-03 16:00:00,,10.02,14.13,24.14,4.05,2.86,24.1,0.16,0.38,35.64,55.55,2.34,116.69,315.42,749.71,-0.02,,0.0,0.15
2015-10-03 16:00:00,2015-10-03 17:00:00,,9.54,15.0,24.54,3.31,0.59,18.71,0.17,0.34,34.76,59.04,1.5,112.76,145.28,749.71,-0.01,,0.0,0.13
2015-10-03 17:00:00,2015-10-03 18:00:00,,10.77,23.79,34.56,5.51,1.25,28.21,0.2,0.46,33.72,64.7,0.51,103.22,85.48,749.71,-0.01,,0.0,0.25
2015-10-03 18:00:00,2015-10-03 19:00:00,,16.2,26.08,42.28,9.49,1.97,29.76,0.34,0.72,32.97,69.77,0.76,96.54,84.66,749.72,-0.01,,0.0,0.56
2015-10-03 19:00:00,2015-10-03 20:00:00,,11.2,22.41,33.61,5.39,2.55,18.59,0.33,0.59,32.43,71.58,1.02,97.94,84.61,749.73,-0.01,,0.0,0.44
2015-10-03 20:00:00,2015-10-03 21:00:00,,11.8,16.73,28.54,4.27,1.36,18.96,0.25,0.5,32.0,70.71,0.47,99.32,84.59,749.73,-0.01,,0.0,0.33
2015-10-03 21:00:00,2015-10-03 22:00:00,,9.59,17.72,27.31,4.72,1.98,18.81,0.23,0.38,31.31,74.33,0.38,95.47,84.61,749.74,-0.01,,0.0,0.23
2015-10-03 22:00:00,2015-10-03 23:00:00,,10.56,16.08,26.64,4.36,0.97,19.94,0.23,0.35,30.91,76.67,0.55,94.06,84.6,749.74,-0.01,,0.0,0.2
2015-10-03 23:00:00,2015-10-04 00:00:00,,9.99,16.2,26.2,4.63,0.67,20.35,0.22,0.27,30.9,76.87,0.73,94.12,84.63,749.75,-0.01,,0.0,0.12
2015-10-04 00:00:00,2015-10-04 01:00:00,,8.56,18.01,22.31,3.17,1.58,20.84,0.22,0.21,30.64,79.15,0.86,92.88,84.63,749.75,-0.01,,0.0,0.09
2015-10-04 01:00:00,2015-10-04 02:00:00,,12.05,14.54,26.59,2.75,1.04,21.93,0.19,0.2,29.92,84.46,0.41,91.12,84.65,749.74,-0.01,,0.0,0.07
2015-10-04 02:00:00,2015-10-04 03:00:00,,12.1,13.21,25.3,3.45,1.09,23.01,0.19,0.2,29.15,89.35,0.49,87.69,84.67,749.74,-0.01,28.95,0.0,0.06
2015-10-04 03:00:00,2015-10-04 04:00:00,,13.25,12.61,25.86,3.7,1.25,23.38,0.2,0.2,28.69,91.06,0.09,85.46,84.67,749.74,-0.01,28.89,0.0,0.07
2015-10-04 04:00:00,2015-10-04 05:00:00,,12.7,11.99,23.46,3.05,0.95,23.41,0.21,0.22,28.59,91.52,0.67,84.8,84.69,749.74,-0.01,,0.0,0.08
2015-10-04 05:00:00,2015-10-04 06:00:00,,12.26,12.68,24.94,4.65,0.61,22.42,0.22,0.22,28.62,90.92,2.08,83.33,84.72,749.75,-0.01,,0.0,0.08
2015-10-04 06:00:00,2015-10-04 07:00:00,,10.82,12.99,23.81,3.36,1.16,17.04,0.23,0.2,28.68,90.28,1.94,83.32,118.74,749.76,-0.01,,0.0,0.07
2015-10-04 07:00:00,2015-10-04 08:00:00,,12.61,13.91,26.53,3.06,0.95,20.1,0.22,0.2,29.71,85.42,2.85,88.38,254.05,749.77,-0.01,,0.0,0.08
2015-10-04 08:00:00,2015-10-04 09:00:00,,8.81,13.71,22.52,3.84,1.5,22.07,0.2,0.18,30.9,80.32,3.08,94.09,412.42,749.77,-0.01,,0.0,0.06
2015-10-04 09:00:00,2015-10-04 10:00:00,,8.32,13.39,21.71,3.81,1.28,20.36,0.16,0.17,32.24,74.77,2.83,102.83,544.45,749.77,-0.01,,0.0,0.05
2015-10-04 10:00:00,2015-10-04 11:00:00,,6.98,12.43,19.41,3.28,1.38,20.62,0.14,0.17,33.26,69.24,2.68,108.23,648.55,749.77,-0.0,,0.0,0.04
2015-10-04 11:00:00,2015-10-04 12:00:00,,5.76,7.0,12.77,2.75,1.34,20.06,0.12,0.2,34.01,64.95,2.89,112.28,695.85,749.76,-0.02,,0.0,0.05
2015-10-04 12:00:00,2015-10-04 13:00:00,,5.96,10.78,16.74,1.32,1.05,18.75,0.13,0.28,34.54,60.13,2.48,115.08,558.86,749.75,-0.01,,0.0,0.07
2015-10-04 13:00:00,2015-10-04 14:00:00,,9.86,15.12,25.0,1.16,1.49,19.09,0.15,0.35,34.61,56.87,1.96,112.07,398.71,749.74,-0.01,,0.0,0.1
2015-10-04 14:00:00,2015-10-04 15:00:00,,9.7,13.06,22.76,1.04,1.23,18.47,0.15,0.33,34.79,55.51,2.2,112.99,385.22,749.74,-0.01,,0.0,0.11
2015-10-04 15:00:00,2015-10-04 16:00:00,,9.94,13.77,23.71,0.88,1.11,19.45,0.14,0.28,34.22,59.21,1.74,110.39,219.46,749.73,-0.01,,0.0,0.1
2015-10-04 16:00:00,2015-10-04 17:00:00,,10.04,14.23,24.27,0.76,0.87,18.91,0.14,0.29,33.76,60.89,1.52,108.1,158.0,749.73,-0.01,,0.0,0.11
2015-10-04 17:00:00,2015-10-04 18:00:00,,9.74,16.21,25.95,0.49,0.45,19.29,0.15,0.3,32.42,65.25,0.65,102.77,86.57,749.73,-0.01,,0.0,0.12
2015-10-04 18:00:00,2015-10-04 19:00:00,,9.65,17.52,27.17,0.99,0.46,20.93,0.14,0.33,31.34,70.49,0.17,98.66,84.78,749.73,-0.01,,0.0,0.16
2015-10-04 19:00:00,2015-10-04 20:00:00,,10.6,19.23,29.82,1.19,0.64,21.67,0.19,0.47,30.66,74.89,0.13,95.26,84.8,749.74,-0.01,,0.0,0.29
2015-10-04 20:00:00,2015-10-04 21:00:00,,12.32,21.14,33.47,3.69,0.97,21.72,0.25,0.52,30.45,75.91,0.58,94.21,84.79,749.75,-0.01,,0.0,0.36
2015-10-04 21:00:00,2015-10-04 22:00:00,,11.53,17.47,28.99,4.34,1.07,23.49,0.25,0.43,29.88,79.51,0.27,90.08,84.76,749.75,-0.01,,0.0,0.27
2015-10-04 22:00:00,2015-10-04 23:00:00,,18.14,17.91,33.14,4.55,1.5,21.89,0.26,0.37,29.8,77.94,0.49,88.61,84.78,749.76,-0.01,,0.0,0.22
2015-10-04 23:00:00,2015-10-05 00:00:00,,10.53,17.03,27.56,5.32,1.5,21.04,0.24,0.32,29.28,82.22,0.56,86.34,84.8,749.76,-0.01,,0.0,0.18
2015-10-05 00:00:00,2015-10-05 01:00:00,,17.73,17.34,35.07,5.22,1.59,21.33,0.23,0.27,28.99,83.66,0.34,84.03,84.79,749.76,-0.01,,0.0,0.14
2015-10-05 01:00:00,2015-10-05 02:00:00,,30.43,21.3,51.74,6.0,1.82,21.53,0.23,0.25,28.66,85.78,0.18,80.64,84.94,749.76,-0.01,,0.0,0.12
2015-10-05 02:00:00,2015-10-05 03:00:00,,23.31,22.69,45.99,7.83,2.01,22.26,0.31,0.25,28.98,82.3,0.49,78.27,84.92,749.76,-0.01,,0.0,0.13
2015-10-05 03:00:00,2015-10-05 04:00:00,,11.47,16.29,27.74,4.75,0.68,18.35,0.22,0.22,28.78,83.02,0.54,84.84,84.84,749.75,-0.01,,0.0,0.07
2015-10-05 04:00:00,2015-10-05 05:00:00,,8.74,13.84,22.57,5.33,0.84,21.05,0.19,0.19,28.86,79.24,0.99,86.34,84.88,749.76,-0.01,,0.0,0.06
2015-10-05 05:00:00,2015-10-05 06:00:00,,7.93,14.1,22.02,4.18,0.76,22.11,0.15,0.17,28.28,81.67,0.3,83.39,84.91,749.76,-0.01,,0.0,0.05
2015-10-05 06:00:00,2015-10-05 07:00:00,,10.23,13.34,23.58,5.4,0.86,17.65,0.16,0.18,28.75,81.16,0.45,85.51,122.42,749.77,-0.01,,0.0,0.06
2015-10-05 07:00:00,2015-10-05 08:00:00,,9.98,16.63,26.62,7.02,1.35,20.61,0.21,0.28,30.46,78.18,1.03,91.79,261.21,749.77,-0.01,,,0.12
2015-10-05 08:00:00,2015-10-05 09:00:00,,9.98,14.98,24.96,5.22,2.14,20.4,0.23,0.27,32.19,67.29,1.29,100.45,414.11,749.78,-0.01,,0.0,0.11
2015-10-05 09:00:00,2015-10-05 10:00:00,,8.83,14.13,22.96,4.14,2.02,19.06,0.21,0.23,33.82,56.95,1.54,108.45,556.32,749.78,-0.01,,0.0,0.09
2015-10-05 10:00:00,2015-10-05 11:00:00,,8.25,14.77,23.02,3.1,2.24,23.76,0.18,0.23,34.37,54.27,1.96,111.35,653.01,749.77,-0.02,,,0.07
2015-10-05 11:00:00,2015-10-05 12:00:00,,97.87,12.44,103.46,130.28,12.52,15.39,0.16,0.36,34.86,49.94,2.28,115.55,705.5,749.76,-0.03,,,0.13
2015-10-05 12:00:00,2015-10-05 13:00:00,,8.98,17.38,26.35,1.45,0.74,26.73,0.18,0.56,35.32,49.2,2.2,114.39,689.95,749.75,-0.02,,0.0,0.26
2015-10-05 13:00:00,2015-10-05 14:00:00,,12.37,17.33,29.71,2.17,2.16,16.06,0.22,0.62,35.47,49.18,2.32,118.46,615.06,749.74,-0.03,,0.0,0.3
2015-10-05 14:00:00,2015-10-05 15:00:00,,8.88,14.25,22.33,2.28,2.23,20.47,0.18,0.54,35.24,48.9,2.57,118.05,476.78,749.73,-0.03,,0.0,0.24
2015-10-05 15:00:00,2015-10-05 16:00:00,,9.6,15.03,24.67,2.2,1.03,24.43,0.16,0.41,34.77,50.5,2.52,112.8,338.4,749.73,-0.03,,0.0,0.16
2015-10-05 16:00:00,2015-10-05 17:00:00,,10.07,20.12,30.2,2.54,1.91,26.23,0.2,0.41,34.02,53.9,2.18,105.22,168.7,749.73,-0.02,,0.0,0.19
2015-10-05 17:00:00,2015-10-05 18:00:00,,13.28,25.71,38.99,2.66,1.31,22.43,0.24,0.51,32.63,62.12,0.86,96.89,87.01,749.73,-0.01,,0.0,0.29
2015-10-05 18:00:00,2015-10-05 19:00:00,,13.88,26.1,39.99,2.24,0.43,20.75,0.26,0.72,31.32,67.75,0.38,94.97,84.92,749.73,-0.01,,0.0,0.55
2015-10-05 19:00:00,2015-10-05 20:00:00,,22.83,25.3,48.13,1.66,0.63,22.39,0.27,0.7,30.5,72.62,0.27,91.28,84.94,749.74,-0.01,,0.0,0.56
2015-10-05 20:00:00,2015-10-05 21:00:00,,21.49,24.5,46.0,2.13,0.87,23.61,0.3,0.64,30.0,77.52,0.32,89.03,84.95,749.74,-0.01,,0.0,0.5
2015-10-05 21:00:00,2015-10-05 22:00:00,,16.88,18.32,35.19,2.84,0.88,24.31,0.28,0.5,29.43,80.88,0.01,86.29,84.85,749.74,-0.01,,0.0,0.35
2015-10-05 22:00:00,2015-10-05 23:00:00,,12.51,19.06,31.56,4.3,0.73,23.95,0.24,0.36,29.12,81.19,0.04,84.85,84.98,749.74,-0.01,,0.0,0.21
2015-10-05 23:00:00,2015-10-06 00:00:00,,12.57,17.84,30.41,2.52,1.04,21.53,0.22,0.31,28.88,82.48,0.01,86.75,84.94,749.74,-0.01,,0.0,0.18
2015-10-06 00:00:00,2015-10-06 01:00:00,,20.33,16.91,37.23,2.9,1.08,24.32,0.18,0.3,28.78,82.7,0.26,87.41,84.94,749.74,-0.01,,0.0,0.16
2015-10-06 01:00:00,2015-10-06 02:00:00,,31.01,16.37,47.37,3.05,1.17,24.98,0.21,0.4,28.71,83.96,0.45,87.02,84.98,749.74,-0.01,28.63,0.0,0.22
2015-10-06 02:00:00,2015-10-06 03:00:00,,25.09,16.76,41.85,3.82,1.18,26.01,0.22,0.38,28.36,86.19,0.76,85.33,84.97,749.74,-0.01,,0.0,0.2
2015-10-06 03:00:00,2015-10-06 04:00:00,,22.56,19.55,42.12,3.86,1.0,26.5,0.22,0.34,28.03,86.33,0.51,81.27,84.93,749.74,-0.01,,0.0,0.16
2015-10-06 04:00:00,2015-10-06 05:00:00,,23.55,17.87,41.42,3.81,0.25,26.49,0.23,0.3,27.49,90.42,0.53,77.35,84.95,749.74,-0.01,,0.0,0.13
2015-10-06 05:00:00,2015-10-06 06:00:00,,21.38,16.15,37.52,4.17,0.26,24.84,0.25,0.28,27.18,92.24,0.02,75.9,85.01,749.75,-0.01,,0.0,0.12
2015-10-06 06:00:00,2015-10-06 07:00:00,,27.84,14.67,42.49,4.13,0.71,18.89,0.27,0.29,27.68,90.78,0.22,77.92,115.85,749.75,-0.01,,0.0,0.13
2015-10-06 07:00:00,2015-10-06 08:00:00,,19.19,19.81,39.0,3.94,0.82,21.44,0.31,0.35,29.75,78.24,0.9,89.99,254.63,749.76,-0.01,,0.0,0.17
2015-10-06 08:00:00,2015-10-06 09:00:00,,9.57,17.57,27.14,2.1,0.72,23.04,0.23,0.28,31.86,66.71,0.87,103.15,401.77,749.77,-0.01,,0.0,0.11
2015-10-06 09:00:00,2015-10-06 10:00:00,,7.45,18.18,25.63,1.16,0.67,23.26,0.18,0.25,32.84,62.38,1.45,108.29,529.07,749.77,-0.01,,0.0,0.09
2015-10-06 10:00:00,2015-10-06 11:00:00,,9.05,16.27,25.32,0.56,0.59,22.96,0.15,0.24,33.26,61.89,2.63,110.52,651.98,749.76,-0.03,,0.0,0.08
2015-10-06 11:00:00,2015-10-06 12:00:00,,7.83,16.12,23.92,1.42,0.89,28.91,0.14,0.3,33.75,58.85,3.05,109.08,688.76,749.74,-0.04,,,0.1
2015-10-06 12:00:00,2015-10-06 13:00:00,,12.39,17.64,30.03,5.22,2.21,24.51,0.22,0.43,34.11,56.75,3.24,102.04,678.33,749.74,-0.05,,0.0,0.17
2015-10-06 13:00:00,2015-10-06 14:00:00,,10.16,12.91,23.05,4.42,2.09,19.87,0.23,0.48,34.48,56.49,3.39,107.91,602.59,749.73,-0.04,,0.0,0.19
2015-10-06 14:00:00,2015-10-06 15:00:00,,8.98,12.97,21.95,4.82,2.12,20.26,0.23,0.49,34.68,56.73,2.73,110.28,471.71,749.72,-0.04,,0.0,0.2
2015-10-06 15:00:00,2015-10-06 16:00:00,,8.4,13.84,22.24,3.84,2.14,24.29,0.22,0.48,34.49,55.72,2.59,111.75,329.83,749.72,-0.03,,0.0,0.2
2015-10-06 16:00:00,2015-10-06 17:00:00,44.0,7.65,15.99,23.64,3.33,1.57,30.35,0.22,0.49,33.76,58.89,2.0,106.05,163.85,749.71,-0.01,,0.0,0.25
2015-10-06 17:00:00,2015-10-06 18:00:00,49.0,11.07,21.55,32.61,3.99,2.13,29.63,0.23,0.54,32.54,66.0,0.83,101.28,86.71,749.72,-0.01,,0.0,0.31
2015-10-06 18:00:00,2015-10-06 19:00:00,69.0,31.48,27.94,59.42,5.12,3.06,23.08,0.28,0.72,31.4,72.82,1.33,96.87,85.03,749.72,-0.01,,,0.55
2015-10-06 19:00:00,2015-10-06 20:00:00,128.0,76.09,28.26,104.35,6.25,3.07,21.97,0.34,0.93,30.71,76.2,0.03,93.96,85.04,749.73,-0.01,,0.0,0.82
2015-10-06 20:00:00,2015-10-06 21:00:00,186.0,90.52,27.31,117.84,4.82,0.92,20.59,0.39,0.94,30.29,78.42,0.25,91.24,85.04,749.74,-0.01,,0.0,0.89
2015-10-06 21:00:00,2015-10-06 22:00:00,173.0,55.45,23.69,79.15,2.78,0.63,20.06,0.38,0.87,30.25,79.75,0.64,92.11,85.04,749.75,-0.01,,0.0,0.77
